metric,method,folds,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
seed_spearman,season_block_bootstrap,6,0.0,0.0,0.0,False,False
seed_pairwise_accuracy,season_block_bootstrap,6,0.0,0.0,0.0,False,False
