ablation,candidate_key,brier_1x2,delta_vs_baseline_brier_1x2,log_loss_1x2,delta_vs_baseline_log_loss_1x2,seed_spearman,delta_vs_baseline_seed_spearman,seed_pairwise_accuracy,delta_vs_baseline_seed_pairwise_accuracy
CURRENT_BASELINE,b20_s1_e0.65_q1-1-1_t1_d1_p0.2,0.5673960753996621,0.0,0.9574233516390931,0.0,0.46726858096674084,0.0,0.6617706415580757,0.0
SHRINKAGE_RAISED,b20_s1_e0.65_q1-1-1_t1_d1_p0.35,0.5676619329741704,0.0002658575745083658,0.9577998407020277,0.00037648906293463735,0.46661402019768417,-0.0006545607690566779,0.6613603224311579,-0.0004103191269178019
SELECTED,b20_s1_e0.65_q1-1-1_t1_d1_p0.2,0.5673960753996621,0.0,0.9574233516390931,0.0,0.46726858096674084,0.0,0.6617706415580757,0.0
