candidate_key,history_benchmark,prior_boost_scale,exposure_cap,european_tail_beta,domestic_boost_scale,participation_shrinkage,uel_quality,uecl_quality,seasons,matches,teams,brier_1x2,log_loss_1x2,accuracy_1x2,seed_spearman,seed_pairwise_accuracy,delta_vs_baseline_brier_1x2,delta_vs_baseline_log_loss_1x2,delta_vs_baseline_accuracy_1x2,delta_vs_baseline_seed_spearman,delta_vs_baseline_seed_pairwise_accuracy
b20_s1_e0.65_q1-1-1_t1_d1_p0.2,20.0,1.0,0.65,1.0,1.0,0.2,1.0,1.0,8,6340,1887,0.5673960753996621,0.9574233516390931,0.5548895899053627,0.46726858096674084,0.6617706415580757,0.0,0.0,0.0,0.0,0.0
b20_s1_e0.65_q1-1-1_t1_d1_p0.35,20.0,1.0,0.65,1.0,1.0,0.35,1.0,1.0,8,6340,1887,0.5676619329741704,0.9577998407020277,0.554416403785489,0.46661402019768417,0.6613603224311579,0.0002658575745083658,0.00037648906293463735,-0.0004731861198737919,-0.0006545607690566779,-0.0004103191269178019
b20_s1_e0.65_q1-1-1_t1_d1_p0.5,20.0,1.0,0.65,1.0,1.0,0.5,1.0,1.0,8,6340,1887,0.5678878827676768,0.958119151330184,0.5542586750788644,0.4661150072615685,0.6611953040815164,0.000491807368014685,0.0006957996910909037,-0.0006309148264983522,-0.0011535737051723283,-0.0005753374765593566
b20_s1_e0.65_q1-1-1_t1_d1_p0.75,20.0,1.0,0.65,1.0,1.0,0.75,1.0,1.0,8,6340,1887,0.5681900387460044,0.9585456160298679,0.5542586750788644,0.46596783130152747,0.6612347197449193,0.0007939633463422968,0.0011222643907747853,-0.0006309148264983522,-0.0013007496652133743,-0.0005359218131564258
b20_s1_e0.65_q1-1-1_t1_d1_p1,20.0,1.0,0.65,1.0,1.0,1.0,1.0,1.0,8,6340,1887,0.5684218058329363,0.9588724361375839,0.5537854889589905,0.4654984570361938,0.6610467367947314,0.0010257304332742523,0.0014490844984907936,-0.001104100946372255,-0.0017701239305470406,-0.0007239047633443851
b20_s1_e0.65_q1-1-1_t1_d1_p1.5,20.0,1.0,0.65,1.0,1.0,1.5,1.0,1.0,8,6340,1887,0.5687505391965129,0.9593356239846732,0.5533123028391167,0.4646827836045786,0.6606875674409949,0.00135446379685078,0.0019122723455801127,-0.001577287066246047,-0.0025857973621622454,-0.0010830741170808622
b20_s1_e0.65_q1-1-1_t1_d1_p2.5,20.0,1.0,0.65,1.0,1.0,2.5,1.0,1.0,8,6340,1887,0.5691294240936425,0.959869086549742,0.5520504731861199,0.46321088526597837,0.6601004415942726,0.001733348693980452,0.0024457349106489223,-0.0028391167192428624,-0.004057695700762476,-0.0016701999638031317
