arm,reference,segment,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,tie_or_match,2074,1746,5.760209301175222e-05,-0.0007882273500397844,0.0009125983608317886,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,team_season,2074,437,5.760209301175222e-05,-0.0005170939914510955,0.0006254028724480021,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,calendar_month,2074,43,5.760209301175222e-05,-0.0009663007948141482,0.0010808221345818222,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,conservative_envelope,2074,,5.760209301175222e-05,-0.0009663007948141482,0.0010808221345818222,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,tie_or_match,1454,751,0.0008222463549287975,-0.0023011960779297123,0.003992988249291573,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,team_season,1454,741,0.0008222463549287975,-0.0015421092271186204,0.0031077344664249625,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,calendar_month,1454,16,0.0008222463549287975,-0.0022915589346636667,0.004409919567122821,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,conservative_envelope,1454,,0.0008222463549287975,-0.0023011960779297123,0.004409919567122821,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,tie_or_match,1454,751,0.00045882595709486885,-0.000547216743223845,0.001451464967061398,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,team_season,1454,741,0.00045882595709486885,-0.00028199036876848306,0.0011938968028759717,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,calendar_month,1454,16,0.00045882595709486885,-0.0006302413860426463,0.00172986259342364,False,False
DOMESTIC_AD_GOALS_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,conservative_envelope,1454,,0.00045882595709486885,-0.0006302413860426463,0.00172986259342364,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,exact_score_nll,tie_or_match,3528,2457,-0.0021488459057865785,-0.004372516825872427,3.7242482955027804e-05,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,exact_score_nll,team_season,3528,939,-0.0021488459057865785,-0.0037299964160393915,-0.0005966878291564757,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,exact_score_nll,calendar_month,3528,45,-0.0021488459057865785,-0.005292321788162029,0.0005019724829169737,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,exact_score_nll,conservative_envelope,3528,,-0.0021488459057865785,-0.005292321788162029,0.0005019724829169737,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,over_2_5_brier,tie_or_match,3528,2457,-0.0002132025964918787,-0.0008258453987361815,0.0004193182360018315,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,over_2_5_brier,team_season,3528,939,-0.0002132025964918787,-0.0006317400080640363,0.00022218024027653949,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,over_2_5_brier,calendar_month,3528,45,-0.0002132025964918787,-0.0010230894156847334,0.0004914438336825682,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,ALL,over_2_5_brier,conservative_envelope,3528,,-0.0002132025964918787,-0.0010230894156847334,0.0004914438336825682,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,tie_or_match,1876,1628,-0.006105854010217962,-0.00944057333728008,-0.0027322831232782997,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,team_season,1876,408,-0.006105854010217962,-0.008556828957037193,-0.0037351138613494947,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,calendar_month,1876,35,-0.006105854010217962,-0.009330940940837975,-0.002778212444185545,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,exact_score_nll,conservative_envelope,1876,,-0.006105854010217962,-0.00944057333728008,-0.0027322831232782997,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,tie_or_match,1876,1628,-0.0007056049968813521,-0.001651737738277574,0.00026040282237140336,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,team_season,1876,408,-0.0007056049968813521,-0.0013696626404323172,-4.953295055116303e-05,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,calendar_month,1876,35,-0.0007056049968813521,-0.0018971784037975414,0.00040456133032162927,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:MAIN,over_2_5_brier,conservative_envelope,1876,,-0.0007056049968813521,-0.0018971784037975414,0.00040456133032162927,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,tie_or_match,1652,829,0.002344705670432112,-5.882270504626612e-05,0.004798688829644113,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,team_season,1652,779,0.002344705670432112,0.0005904748774305817,0.004158190204040466,False,True
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,calendar_month,1652,10,0.002344705670432112,-0.000731554707511999,0.005494405639408252,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,exact_score_nll,conservative_envelope,1652,,0.002344705670432112,-0.000731554707511999,0.005494405639408252,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,tie_or_match,1652,829,0.00034596623106904884,-0.0003637458821827063,0.0010607429320693164,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,team_season,1652,779,0.00034596623106904884,-0.00015239484945603967,0.0008289222312994884,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,calendar_month,1652,10,0.00034596623106904884,-0.0004731210892024322,0.0012957389041202078,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,PHASE:QUALIFYING,over_2_5_brier,conservative_envelope,1652,,0.00034596623106904884,-0.0004731210892024322,0.0012957389041202078,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,tie_or_match,2074,1746,-0.005103561320583936,-0.008347139141859989,-0.001967098039049878,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,team_season,2074,437,-0.005103561320583936,-0.0074204287106552835,-0.002797474590584947,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,calendar_month,2074,43,-0.005103561320583936,-0.008187153505904154,-0.0018759511961971098,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,exact_score_nll,conservative_envelope,2074,,-0.005103561320583936,-0.008347139141859989,-0.0018759511961971098,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,tie_or_match,2074,1746,-0.0005872146586018457,-0.0014834966198805934,0.00027298645103371116,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,team_season,2074,437,-0.0005872146586018457,-0.0012248286848789143,1.938154249487724e-05,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,calendar_month,2074,43,-0.0005872146586018457,-0.00165443811053304,0.0004565731044056456,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_PRESENT,over_2_5_brier,conservative_envelope,2074,,-0.0005872146586018457,-0.00165443811053304,0.0004565731044056456,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,tie_or_match,1454,751,0.0020657894245364747,-0.00043106869972576756,0.0047677245535756784,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,team_season,1454,741,0.0020657894245364747,4.7070656344669994e-05,0.003938404597228874,False,True
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,calendar_month,1454,16,0.0020657894245364747,-0.0013209957453277365,0.005800570412370905,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_ABSENT,exact_score_nll,conservative_envelope,1454,,0.0020657894245364747,-0.0013209957453277365,0.005800570412370905,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,tie_or_match,1454,751,0.0003202919130102338,-0.0004125456295160225,0.0010397362015179981,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,team_season,1454,741,0.0003202919130102338,-0.00019391770502842577,0.0008478491117801667,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,calendar_month,1454,16,0.0003202919130102338,-0.0005588084398409953,0.0014475249258661226,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD,XG_ABSENT,over_2_5_brier,conservative_envelope,1454,,0.0003202919130102338,-0.0005588084398409953,0.0014475249258661226,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,ALL,exact_score_nll,tie_or_match,3528,2457,-0.0017190400173239648,-0.0038253708138212706,0.0005029964783755136,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,ALL,exact_score_nll,team_season,3528,939,-0.0017190400173239648,-0.0031564416304891603,-0.0002957547608729538,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,ALL,exact_score_nll,calendar_month,3528,45,-0.0017190400173239648,-0.004351739836973678,0.0006594937461143123,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,ALL,exact_score_nll,conservative_envelope,3528,,-0.0017190400173239648,-0.004351739836973678,0.0006594937461143123,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,ALL,over_2_5_brier,tie_or_match,3528,2457,-0.0004361616901773417,-0.0010761857815464184,0.00024249313540134005,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,ALL,over_2_5_brier,team_season,3528,939,-0.0004361616901773417,-0.0008780431298675007,8.541689054122166e-06,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,ALL,over_2_5_brier,calendar_month,3528,45,-0.0004361616901773417,-0.0011105602434536618,0.0002775891915980029,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,ALL,over_2_5_brier,conservative_envelope,3528,,-0.0004361616901773417,-0.0011105602434536618,0.0002775891915980029,False,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:MAIN,exact_score_nll,tie_or_match,1876,1628,-0.004385273825926266,-0.007279289119392178,-0.001362143179889526,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:MAIN,exact_score_nll,team_season,1876,408,-0.004385273825926266,-0.0063093946651241,-0.002468562454994251,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:MAIN,exact_score_nll,calendar_month,1876,35,-0.004385273825926266,-0.0068655887563736605,-0.001584966280878227,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:MAIN,exact_score_nll,conservative_envelope,1876,,-0.004385273825926266,-0.007279289119392178,-0.001362143179889526,True,False
DOMESTIC_AD_XG_FORM,DOMESTIC_AD_GOALS_FORM,PHASE:MAIN,over_2_5_brier,tie_or_match,1876,1628,-0.0007761999145412755,-0.0016964995485169363,0.00011066033400030601,False,False
