source_year,country_key,status,league_team_count,source_url,cache_path,detail
2013,liechtenstein,NOT_APPLICABLE,0,https://en.wikipedia.org/wiki/2012–13_Liechtenstein_Cup,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_liechtenstein_8e21e86c.html,country has no domestic league
2013,lithuania,CACHED,10,https://en.wikipedia.org/wiki/2012_A_Lyga,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_lithuania_81c20854.html,
2013,luxembourg,CACHED,14,https://en.wikipedia.org/wiki/2012–13_Luxembourg_National_Division,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_luxembourg_fb66ca1d.html,
2013,malta,CACHED,12,https://en.wikipedia.org/wiki/2012–13_Maltese_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_malta_d45278b8.html,
2013,moldova,CACHED,12,https://en.wikipedia.org/wiki/2012–13_Moldovan_National_Division,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_moldova_d3a96620.html,
2013,montenegro,CACHED,12,https://en.wikipedia.org/wiki/2012–13_Montenegrin_First_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_montenegro_93a11e37.html,
2013,netherlands,CACHED,18,https://en.wikipedia.org/wiki/2012–13_Eredivisie,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_netherlands_479f9e18.html,
2013,northernireland,CACHED,12,https://en.wikipedia.org/wiki/2012–13_IFA_Premiership,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_northernireland_65489f4d.html,
2013,northmacedonia,CACHED,12,https://en.wikipedia.org/wiki/2012–13_First_Macedonian_Football_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_northmacedonia_27982cbe.html,
2013,norway,CACHED,16,https://en.wikipedia.org/wiki/2012_Norwegian_Premier_League,/Users/buycell/Desktop/Akil Oyunu Elo/data/backtest_stage_b_2018_2026/_source_cache/2013_norway_5e12216b.html,
