model,competition,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,log_loss,ranking_score_delta
baseline,UCL,0.4366618290588809,0.6690559602610091,0.451984126984127,0.23913952005547823,0.6337438487460879,0.0
selected,UCL,0.430866681978249,0.6658407790793845,0.451984126984127,0.23982722916577168,0.6299436240931717,-0.0057951470806318905
baseline,UECL,0.3484186398518559,0.6351107627616195,0.38116531165311657,0.25936470906841935,0.6337438487460879,0.0
selected,UECL,0.34803245700749985,0.6347385944805936,0.37790346019402227,0.2580293855425863,0.6299436240931717,-0.0003861828443560422
baseline,UEL,0.4520938250401185,0.6755506084965249,0.48802794022092266,0.23851554536848127,0.6337438487460879,0.0
selected,UEL,0.468558655167357,0.6817546087860696,0.5162443144899286,0.23269279297999568,0.6299436240931717,0.016464830127238483
