fold,candidate,ranking_score,pairwise_accuracy,top_quartile_precision,rank_percentile_mae,zero_exposure_rank_mae,zero_exposure_extreme_overrank_count,log_loss,pilot_guardrails_pass,pilot_guardrail_violations,pilot_como_rating,pilot_como_rank,pilot_top_team,historical_zero_guardrail_pass,eligible
1,country_b25_g2.0_c100,0.4518589082637129,0.676357094631117,0.29598765432098767,0.23710095810024448,0.2222571858719122,3,0.629801594195523,True,,698.4095198398401,10,Arsenal,True,True
1,country_b35_g2.0_c140,0.4517679485913684,0.6762813489548432,0.29907407407407405,0.2372141356894756,0.22261190679001341,3,0.629420993296983,True,,701.4310882080313,10,Arsenal,True,True
1,country_b30_g1.4_c100,0.45171887474898265,0.6759727961958064,0.29598765432098767,0.2375799303479984,0.22263250860059558,5,0.6301113953568107,True,,692.9974592504597,10,Arsenal,True,True
1,country_b30_g2.0_c140,0.4508703636058917,0.6756010844814493,0.29907407407407405,0.2375596088149386,0.22295619473993514,3,0.628125684760095,True,,715.1441651941168,10,Arsenal,True,True
1,country_b35_g1.4_c100,0.45086329704008904,0.675857960578085,0.2898148148148148,0.23774270127188532,0.22340877425830177,5,0.630956008423267,True,,684.559166609833,10,Arsenal,True,True
1,country_b20_g2.0_c100,0.4508514687691144,0.675510197482429,0.29907407407407405,0.2376206528778814,0.2227162364718079,4,0.6278350606829685,True,,718.3157894736842,10,Arsenal,True,True
1,country_b30_g1.6_c100,0.4507705320212703,0.6757507456975129,0.2898148148148148,0.2376935379244819,0.22723074027852064,4,0.6304382715766379,True,,689.7005055397015,10,Arsenal,True,True
1,country_b25_g1.2_c100,0.4505693335691907,0.6757525038349239,0.29907407407407405,0.23828506264652918,0.2231248390483548,5,0.6290416400719202,True,,706.0776785474777,10,Arsenal,True,True
1,country_b35_g1.2_c100,0.4504742784554954,0.6755543802655022,0.29290123456790124,0.2381273721059072,0.22234236643489633,5,0.6306423837138121,True,,688.9391306225862,10,Arsenal,True,True
1,country_b20_g1.4_c100,0.4504712207625553,0.6757787766093837,0.29907407407407405,0.23865300724131377,0.2223840983076141,5,0.6277118617084194,True,,718.3157894736842,10,Arsenal,True,True
1,country_b30_g1.2_c100,0.45038577973673843,0.6758666057654148,0.29598765432098767,0.2382655613560924,0.2246085655989382,5,0.6299316059489926,True,,696.3707603932204,10,Arsenal,True,True
1,country_b25_g2.0_c140,0.4502861162214546,0.6755521974569798,0.29907407407407405,0.23792669343521844,0.22362912118750947,4,0.6264860432656457,True,,733.7527958427576,8,Arsenal,True,True
1,country_b35_g1.0_c100,0.45023359376521477,0.6754893048758848,0.29290123456790124,0.23795526065811345,0.2224591100281954,5,0.6305522876174792,True,,693.4588868544644,10,Arsenal,True,True
1,country_b35_g2.0_c180,0.4501378502926514,0.6753242609809772,0.29907407407407405,0.23793474399736825,0.2238742959397265,4,0.6266966592005964,True,,730.646720576347,10,Arsenal,True,True
1,country_b20_g2.0_c140,0.45008398349421996,0.6759860810384853,0.3052469135802469,0.23878506100604396,0.2267319387492324,5,0.6244430846275633,True,,758.3157894736842,8,Arsenal,True,True
1,country_b25_g1.6_c100,0.4500756815807608,0.6755016528093378,0.29907407407407405,0.23801739955512796,0.2260642287857478,5,0.6292070894425503,True,,702.1961467212637,10,Arsenal,True,True
1,country_b30_g2.0_c100,0.449953672087414,0.6753654618141871,0.29290123456790124,0.2371085786751419,0.22248572070019743,3,0.6313281690295651,True,,683.3287676817619,10,Arsenal,True,True
1,country_b35_g1.6_c100,0.4499427744842075,0.6754791659225263,0.2898148148148148,0.23748074367868677,0.2253756528859043,4,0.631405643505086,True,,680.31467116167,10,Arsenal,True,True
1,country_b35_g2.0_c220,0.4497859363938943,0.6757329435338507,0.3052469135802469,0.23889421331420016,0.2277533791591556,5,0.6243370446139224,True,,759.8623529446626,8,Arsenal,True,True
1,country_b30_g1.0_c100,0.44973508082411595,0.6753300718856389,0.29598765432098767,0.23815660417562157,0.22523130814894052,6,0.6299857827907331,True,,699.8221769425703,10,Arsenal,True,True
1,country_b30_g2.0_c180,0.4496870524671778,0.6755620534834779,0.3052469135802469,0.23841946147520648,0.22535577742120796,5,0.6253551487068691,True,,746.9595627064718,8,Arsenal,True,True
1,country_b15_g2.0_c100,0.4494965033670984,0.6754414848591199,0.3052469135802469,0.23838956455867283,0.22599119800849166,5,0.6263739404650495,True,,718.3157894736842,10,Arsenal,True,True
1,country_b35_g2.0_c100,0.44945162796525057,0.6752470882098782,0.2898148148148148,0.23706449571100344,0.2225274525729152,3,0.6325088023535197,True,,672.2154558397157,10,Arsenal,True,True
1,country_b30_g1.4_c140,0.4493086279826707,0.6753328615235703,0.3052469135802469,0.23892301539666216,0.2225363668178787,5,0.6269520300217857,True,,727.0746782329608,10,Arsenal,True,True
1,country_b20_g1.0_c100,0.44923227493554974,0.6747742992711294,0.3021604938271605,0.2384584243241984,0.2269057995417418,6,0.6284268935651556,True,,718.3157894736842,10,Arsenal,True,True
1,country_b35_g1.4_c140,0.44920615134152303,0.675079067467973,0.29907407407407405,0.23884333001778726,0.22182170849758653,5,0.6278400945056761,True,,716.662394455029,10,Arsenal,True,True
1,country_b25_g2.0_c180,0.44902233191379853,0.675320015759104,0.30833333333333335,0.2392367162607783,0.2274205146490759,5,0.6237042755541553,True,,769.0960718456752,8,Arsenal,True,True
1,country_b35_g1.6_c140,0.448993303712922,0.6749294331008692,0.29907407407407405,0.23852478362997315,0.2269562475650905,5,0.6282638726333408,True,,711.4249734526295,10,Arsenal,True,True
1,country_b20_g1.2_c100,0.44886397626028474,0.6744983620298891,0.3021604938271605,0.2389225854094098,0.22362661199263092,6,0.6279424666424149,True,,718.3157894736842,10,Arsenal,True,True
1,country_b30_g2.0_c220,0.44881450624941555,0.6751891382606652,0.30833333333333335,0.23954572699700022,0.23033877432433325,5,0.6230171096610244,True,,778.7749602188269,8,Arsenal,True,True
1,country_b20_g1.6_c100,0.4487714554894803,0.6747569001491266,0.29907407407407405,0.2387871712104241,0.2249613055737142,5,0.6276510949969244,True,,718.3157894736842,10,Arsenal,True,True
1,country_b30_g1.6_c140,0.4487155513015577,0.6749204191119298,0.29907407407407405,0.23874308824628557,0.2256029331167502,5,0.6272281595442026,True,,723.0064598028673,10,Arsenal,True,True
1,country_b15_g1.6_c100,0.4485846811907015,0.6750095158810792,0.30833333333333335,0.23891750502614484,0.2249424205806805,5,0.6265685610447551,True,,718.3157894736842,10,Arsenal,True,True
1,country_b25_g1.4_c100,0.4485560467179569,0.6748721335889996,0.29907407407407405,0.23861951503095755,0.22283172546766772,5,0.6290450709524825,True,,704.124902232475,10,Arsenal,True,True
1,country_b35_g1.2_c140,0.4485113792312575,0.6744829190821138,0.3021604938271605,0.2390222020659738,0.2240700131402574,6,0.6276115056613348,True,,722.0669745259245,10,Arsenal,True,True
1,country_b25_g1.0_c100,0.44842080893009323,0.6744929614152861,0.29907407407407405,0.238615684877568,0.22620157418962908,6,0.6292825998953486,True,,708.0547748223916,10,Arsenal,True,True
1,country_b15_g1.4_c100,0.44822614999493327,0.6747882510454656,0.30833333333333335,0.23937826594521905,0.22494961800809546,6,0.6268335060972823,True,,718.3157894736842,10,Arsenal,True,True
1,country_b35_g2.0_c260,0.4480654650436865,0.675032277964967,0.30833333333333335,0.23978310291649707,0.23115776232641982,5,0.6223417356473147,True,,789.0779853129783,8,Arsenal,True,True
1,country_b25_g1.4_c140,0.44790150272974905,0.6746155950455843,0.30833333333333335,0.2395690187089449,0.22278253204175827,6,0.6258550823390875,True,,740.8051920923251,9,Arsenal,True,True
1,country_b25_g1.6_c140,0.44767876112612254,0.6744746071912656,0.3052469135802469,0.2393394982239125,0.22484330738297575,5,0.6259378970572846,True,,738.4252379266812,9,Arsenal,True,True
1,country_b15_g1.0_c100,0.4475458326370127,0.6741909719703026,0.3052469135802469,0.23926125820259841,0.22679823431918278,8,0.6279782538221981,True,,718.3157894736842,10,Arsenal,True,True
1,country_b35_g1.6_c180,0.44753357784957803,0.6744653058760365,0.30833333333333335,0.23939460192908563,0.225385821728307,5,0.6255687038633317,True,,742.535275743589,8,Arsenal,True,True
1,country_b20_g1.6_c140,0.44714554313323873,0.6743262312997275,0.30833333333333335,0.23990644127225808,0.22559025507946884,5,0.6243622821613224,True,,758.3157894736842,8,Arsenal,True,True
1,country_b30_g1.0_c140,0.4470184155944379,0.6738312679008979,0.30833333333333335,0.2392476972699313,0.22703297610322035,8,0.6271375134960526,True,,735.4959193940458,10,Arsenal,True,True
1,country_b15_g1.2_c100,0.4469657178421649,0.6739529788623884,0.30833333333333335,0.23933629318546068,0.22438399265730338,6,0.6272765544524046,True,,718.3157894736842,10,Arsenal,True,True
1,country_b35_g1.4_c180,0.4469500083956572,0.6743753007368187,0.30833333333333335,0.24002172906586933,0.2237736640188058,6,0.6252232682038614,True,,748.7656223002252,8,Arsenal,True,True
1,country_b20_g2.0_c180,0.44674624020959,0.6744085156106208,0.30833333333333335,0.240215686868047,0.23133512278547044,5,0.6217418820197538,True,,798.3157894736842,8,Arsenal,True,True
1,country_b35_g1.0_c140,0.44670504877663364,0.6737613939035937,0.3052469135802469,0.2393223022655412,0.2278864985506098,8,0.6276960893586863,True,,727.64404876329,10,Arsenal,True,True
1,country_b30_g1.2_c140,0.4466615842314675,0.6737544652829123,0.3052469135802469,0.23940538781055326,0.22458644506514003,6,0.626882921741376,True,,731.2371042429025,10,Arsenal,True,True
1,country_b35_g0.8_c100,0.44661453068725554,0.6736295317772182,0.29598765432098767,0.2385809027054547,0.22594794741255786,8,0.6308260684639058,True,,698.1228969550313,10,Arsenal,True,True
1,country_b30_g1.6_c180,0.4465921705486273,0.6740037337583733,0.30833333333333335,0.2399560346069139,0.22618394379403473,5,0.6245307252330267,True,,756.3124140660332,8,Arsenal,True,True
1,country_b30_g0.8_c100,0.4461824205985512,0.6734655274513088,0.29598765432098767,0.238978509357206,0.2249744458311048,9,0.6304120482424909,True,,703.3535178140161,10,Arsenal,True,True
1,country_b25_g1.6_c180,0.4461769324434066,0.6739227586553531,0.3052469135802469,0.2408504345797281,0.2261076774760141,6,0.6232760179019804,True,,774.6543291320988,8,Arsenal,True,True
1,country_b25_g1.2_c140,0.44604886389308496,0.6735642731549005,0.30833333333333335,0.23969829742247556,0.224806527868571,6,0.6259912738071024,True,,743.2147863091382,9,Arsenal,True,True
1,country_b25_g0.8_c100,0.44595932783235503,0.673529828826075,0.29907407407407405,0.238978509357206,0.22523527003559093,9,0.6299030289289593,True,,710.0564939390396,10,Arsenal,True,True
1,country_b35_g1.6_c220,0.44580543360103947,0.6739236864853475,0.3052469135802469,0.24077285940523335,0.22676396399965662,6,0.6233214233836374,True,,773.6455780345485,8,Arsenal,True,True
1,country_b15_g2.0_c140,0.4456403957060549,0.6740130680121894,0.3052469135802469,0.24019024521984056,0.2309500934344935,5,0.6230405688700005,True,,758.3157894736842,8,Arsenal,True,True
1,country_b30_g1.6_c220,0.4452537729399569,0.6740106870824808,0.30833333333333335,0.24123702049044476,0.22683276876448566,6,0.6223465031539414,True,,789.6183683291989,8,Arsenal,True,True
1,country_b35_g1.2_c180,0.44489611068019147,0.673081741336426,0.3052469135802469,0.2402947074001025,0.22630365880232164,6,0.6251425323168076,True,,755.1948184292628,8,Arsenal,True,True
1,country_b30_g1.2_c180,0.4448499113157493,0.6732596202764116,0.3052469135802469,0.24049097053434568,0.22718524461348497,7,0.6244574136020142,True,,766.1034480925848,8,Arsenal,True,True
1,country_b20_g1.2_c140,0.44479439518017205,0.6732392048821823,0.3052469135802469,0.24039983442718382,0.2263088752864114,6,0.6249324809827543,True,,758.3157894736842,8,Arsenal,True,True
1,country_b20_g1.4_c140,0.44470894202777267,0.6732617359906669,0.30833333333333335,0.24075632829368143,0.22707173656095034,6,0.624532097596098,True,,758.3157894736842,8,Arsenal,True,True
1,country_b20_g1.6_c180,0.444704160329709,0.6738556395505536,0.30833333333333335,0.241358678629078,0.2258175353103148,6,0.6218210971233479,True,,798.3157894736842,8,Arsenal,True,True
1,country_b30_g1.4_c180,0.4443098186274286,0.6731498446460986,0.30833333333333335,0.24101574569524747,0.22812447587541185,6,0.6243557927670285,True,,761.1518972154618,8,Arsenal,True,True
1,country_b25_g1.0_c140,0.4442689312208042,0.6729727981590634,0.30833333333333335,0.2400369702156642,0.22700788415443432,8,0.6264612593243637,True,,745.6543897155882,9,Arsenal,True,True
1,country_b25_g1.2_c180,0.444149725045577,0.6731355851831549,0.30833333333333335,0.2411009414446397,0.22812421174963515,7,0.6236486197831603,True,,780.3518940707988,8,Arsenal,True,True
1,country_b30_g1.4_c220,0.4437516804708968,0.6732162014661889,0.30833333333333335,0.241117902543444,0.228064849481323,7,0.6223232833518477,True,,795.2291161979628,8,Arsenal,True,True
1,country_b15_g1.6_c140,0.443714022356892,0.6730665363320806,0.3052469135802469,0.2412616021641465,0.2261816987249328,6,0.6233929177526987,True,,758.3157894736842,8,Arsenal,True,True
1,country_b35_g1.2_c220,0.44367205033195917,0.6729283210816738,0.30833333333333335,0.2412662525601591,0.22878670522903008,7,0.6232369404775111,True,,788.3226623326011,8,Arsenal,True,True
1,country_b15_g1.4_c140,0.44355910527797093,0.6729379998567367,0.3052469135802469,0.2409216394092008,0.2275953659132479,7,0.623794690085139,True,,758.3157894736842,8,Arsenal,True,True
1,country_b30_g1.2_c220,0.44354954281425824,0.6729456357366961,0.30833333333333335,0.24150362847965595,0.228970272643833,8,0.6226558194473067,True,,800.969791942267,8,Arsenal,True,True
1,country_b15_g1.2_c140,0.4435192322328859,0.6728308408456666,0.30833333333333335,0.2409017081315117,0.22840068540639055,7,0.6244345254093774,True,,758.3157894736842,8,Arsenal,True,True
1,country_b20_g1.2_c180,0.4434743770509504,0.6728046322581829,0.30833333333333335,0.24147904680595422,0.2284851396234887,8,0.6227508018947006,True,,798.3157894736842,8,Arsenal,True,True
1,country_b20_g1.4_c180,0.4433990804683942,0.672883333937752,0.30833333333333335,0.2413362071597564,0.22757027396446186,7,0.6221363980923209,True,,798.3157894736842,8,Arsenal,True,True
1,country_b20_g0.8_c100,0.44328158467845424,0.6723698056195032,0.3021604938271605,0.23992250266467605,0.22489296302899442,9,0.6292958478116778,True,,718.3157894736842,10,Arsenal,True,True
1,country_b35_g1.4_c220,0.4431318150311673,0.672969221218295,0.3052469135802469,0.24139428104381438,0.228662764208316,7,0.6231068837690746,True,,780.8688501454212,8,Arsenal,True,True
1,country_b15_g1.4_c180,0.4430856867423849,0.672765964421306,0.30833333333333335,0.24143539382906806,0.22949093058114275,7,0.6216800019566264,True,,798.3157894736842,8,Arsenal,True,True
1,country_b20_g1.0_c140,0.44289563784811287,0.6724732390118564,0.3052469135802469,0.24108566056296318,0.22876484882100856,8,0.6256753500410962,True,,758.3157894736842,8,Arsenal,True,True
1,country_b25_g1.4_c180,0.4427279546901283,0.6727549595710334,0.3052469135802469,0.24155154159718398,0.22851670265380375,7,0.623318242338113,True,,777.4854819521752,8,Arsenal,True,True
1,country_b35_g1.0_c180,0.44209272561421165,0.6722445012489793,0.3052469135802469,0.24119078759004453,0.2296610936127784,8,0.6254787798243029,True,,761.8292106721157,8,Arsenal,True,True
1,country_b15_g2.0_c180,0.44188368758421503,0.6728378120478643,0.30833333333333335,0.2418497664519383,0.23267252365576488,5,0.6205612819721408,True,,798.3157894736842,8,Arsenal,True,True
1,country_b30_g1.0_c180,0.44174884615368293,0.6719008442214786,0.3052469135802469,0.24142773352228897,0.22908404482214428,8,0.6249857039349583,True,,771.1696618455212,8,Arsenal,True,True
1,country_b15_g1.2_c180,0.44145601119421674,0.6719741110484514,0.3052469135802469,0.24164095775533645,0.23281607601539853,8,0.6225512269266609,True,,798.3157894736842,8,Arsenal,True,True
1,country_b15_g1.6_c180,0.4411086463520033,0.6726491336271917,0.30833333333333335,0.24184636628580108,0.23080053221344002,7,0.6211135221216466,True,,798.3157894736842,8,Arsenal,True,True
1,country_b35_g0.8_c140,0.44060469827140614,0.6715382894011405,0.3052469135802469,0.2409538019259184,0.224692491564483,10,0.6282832046118823,True,,733.3991225416552,10,Arsenal,True,True
1,country_b25_g1.0_c180,0.4405158823061551,0.6711389337953624,0.30833333333333335,0.24221149609750456,0.22942932324372867,8,0.6244143428958198,True,,783.254004608785,8,Arsenal,True,True
