competition,model_arm,matches,brier_1x2,log_loss_1x2,accuracy_1x2,mean_predicted_draw,observed_draw_rate,delta_vs_baseline_brier_1x2,delta_vs_baseline_log_loss_1x2,delta_vs_baseline_accuracy_1x2
ALL,BASELINE,4884,0.572750204366294,0.9659878634150515,0.5501638001638002,0.20497166300205527,0.20475020475020475,0.0,0.0,0.0
ALL,CANDIDATE,4884,0.5727864183633647,0.9662306146295768,0.5501638001638002,0.21056252278545706,0.20475020475020475,3.6213997070766446e-05,0.00024275121452532744,0.0
UCL,BASELINE,1384,0.5539591473733748,0.9384372556519356,0.5722543352601156,0.20144147164782286,0.19436416184971098,0.0,0.0,0.0
UCL,CANDIDATE,1384,0.5539545587646546,0.9381846840207292,0.5722543352601156,0.20759954129305833,0.19436416184971098,-4.588608720212939e-06,-0.0002525716312063997,0.0
UECL,BASELINE,2073,0.5820720765514918,0.9794933209861542,0.5306319343945972,0.20905960259821085,0.21369995176073323,0.0,0.0,0.0
UECL,CANDIDATE,2073,0.5821916952102685,0.9799014555228551,0.5306319343945972,0.2135861693350736,0.21369995176073323,0.00011961865877663236,0.0004081345367009659,0.0
UEL,BASELINE,1427,0.5774331629074886,0.9730889339120771,0.5571128241065172,0.2024569370394955,0.2018220042046251,0.0,0.0,0.0
UEL,CANDIDATE,1427,0.5773877882168923,0.9735718303204528,0.5571128241065172,0.20904377512471758,0.2018220042046251,-4.537469059628929e-05,0.00048289640837573256,0.0
