candidate_key,draw_at_even,draw_shape,distance_from_baseline,matches,brier_1x2,log_loss_1x2,accuracy_1x2,mean_predicted_draw,observed_draw_rate,draw_envelope_hits
draw_0.24_shape_0.84,0.24,0.84,0.0032000000000000006,6340,0.5747331412254877,0.9685655298646868,0.5465299684542587,0.20833283752568915,0.211198738170347,0
draw_0.24_shape_0.85,0.24,0.85,0.0030000000000000005,6340,0.5747380812639385,0.9685659831888538,0.5465299684542587,0.20802315617807135,0.211198738170347,0
draw_0.24_shape_0.8,0.24,0.8,0.003999999999999999,6340,0.5747189075543774,0.9685834865263602,0.5465299684542587,0.2095846595641146,0.211198738170347,0
draw_0.24_shape_0.9,0.24,0.9,0.0019999999999999996,6340,0.5747706094383608,0.9685965866197486,0.5465299684542587,0.20649397623512458,0.211198738170347,0
draw_0.24_shape_0.75,0.24,0.75,0.005,6340,0.5747142891588417,0.9686526215197773,0.5465299684542587,0.21117955203283045,0.211198738170347,0
draw_0.24_shape_0.95,0.24,0.95,0.0010000000000000009,6340,0.574815390367451,0.9686722329948659,0.5465299684542587,0.20499609798986784,0.211198738170347,0
draw_0.24_shape_0.7,0.24,0.7,0.006000000000000001,6340,0.5747255360739367,0.9687775078005428,0.5465299684542587,0.21280894543147846,0.211198738170347,0
draw_0.24_shape_1,0.24,1.0,0.0,6340,0.5748714124938769,0.9687902251784049,0.5465299684542587,0.2035285414123681,0.211198738170347,0
draw_0.24_shape_1.1,0.24,1.1,0.0020000000000000018,6340,0.57501353719866,0.9691438961070322,0.5465299684542587,0.20068066951898111,0.211198738170347,0
draw_0.24_shape_0.6,0.24,0.6,0.008,6340,0.5748012102881818,0.9692144159924388,0.5465299684542587,0.21617429937737773,0.211198738170347,2
draw_0.24_shape_1.25,0.24,1.25,0.005,6340,0.5752900936849306,0.9699392441113691,0.5465299684542587,0.19661395352954616,0.211198738170347,0
draw_0.24_shape_0.5,0.24,0.5,0.01,6340,0.5749567831576761,0.9699457221681212,0.5465299684542587,0.21968275472494753,0.211198738170347,7
draw_0.24_shape_1.5,0.24,1.5,0.01,6340,0.5758777809360226,0.9718683070595193,0.5465299684542587,0.1903311060425163,0.211198738170347,0
