expected_score_decile,matches,mean_expected_home_score,observed_draw_rate,baseline_predicted_draw,candidate_predicted_draw,baseline_error,candidate_error
1,489,0.2753979800586645,0.19631901840490798,0.18827988417688699,0.19698506512844663,-0.008039134228020994,0.0006660467235386491
2,488,0.4032330331466172,0.21311475409836064,0.23043020327940908,0.23218076586717473,0.017315449181048437,0.01906601176881409
3,488,0.4737505168486145,0.26639344262295084,0.239051801779099,0.23922984259808416,-0.02734164084385185,-0.027163600024866674
4,489,0.5272900729625797,0.2167689161554192,0.23907745996627927,0.23924637927281853,0.02230854381086006,0.022477463117399316
5,488,0.5771662640255042,0.2459016393442623,0.23410929554591486,0.23518941938388793,-0.011792343798347427,-0.010712219960374358
6,488,0.6214192501904697,0.2069672131147541,0.2257117429265573,0.2282994423716441,0.01874452981180319,0.02133222925688999
7,489,0.6664611748556354,0.18200408997955012,0.2132206319230206,0.21805839603879484,0.031216541943470483,0.03605430605924473
8,488,0.7165679259443967,0.18442622950819673,0.1947432704672487,0.20252162922811223,0.010317040959051976,0.0180953997199155
9,488,0.77422972705433,0.19057377049180327,0.1674340518378342,0.1790985977093732,-0.023139718653969077,-0.011475172782430071
10,489,0.855230509908702,0.14519427402862986,0.11778436253103033,0.13492437033894505,-0.027409911497599526,-0.010269903689684806
