season,country,country_code,points_t_minus_4,points_t_minus_3,points_t_minus_2,points_t_minus_1,points_t,official_five_year_total,official_country_rank
2023/24,Albania,ALB,1.0,0.75,2.0,1.625,0.875,6.25,49
2023/24,Andorra,AND,0.833,1.5,0.666,1.5,0.666,5.165,53
2023/24,Armenia,ARM,1.5,2.75,1.375,1.875,2.375,9.875,39
2023/24,Austria,AUT,6.2,5.8,6.7,10.4,4.9,34.0,10
2023/24,Azerbaijan,AZB,2.375,3.375,2.5,4.375,4.0,16.625,29
2023/24,Belarus,BLS,5.0,2.5,1.5,0.25,0.625,9.875,40
2023/24,Belgium,BEL,7.8,7.6,6.0,6.6,14.2,42.2,8
2023/24,Bosnia-Herzegovina,BOS,2.0,1.5,2.625,1.625,2.0,9.75,41
2023/24,Bulgaria,BUL,4.0,4.125,4.0,3.375,4.5,20.0,27
2023/24,Croatia,CRO,5.75,4.375,5.9,6.0,3.375,25.4,19
2023/24,Cyprus,CYP,6.125,5.125,4.0,4.125,5.1,24.475,22
2023/24,Czechia,CZE,6.5,2.5,6.6,6.7,6.75,29.05,15
2023/24,Denmark,DEN,4.875,5.125,4.125,7.8,5.9,27.825,17
2023/24,England,ENG,22.642,18.571,24.357,21.0,23.0,109.57,1
2023/24,Estonia,EST,0.5,0.875,1.375,3.666,1.166,7.582,47
2023/24,Faroe Islands,FAR,1.125,1.125,2.75,1.5,2.25,8.75,43
2023/24,Finland,FIN,0.875,1.625,1.375,3.75,2.625,10.25,37
2023/24,France,FRA,10.583,11.666,7.916,18.416,12.583,61.164,5
2023/24,Georgia,GEO,1.625,2.25,1.75,1.25,1.125,8.0,46
2023/24,Germany,GER,15.214,18.714,15.214,16.214,17.125,82.481,3
2023/24,Gibraltar,GIB,1.0,1.0,1.666,1.25,0.875,5.791,51
2023/24,Greece,GRE,5.1,4.9,5.1,8.0,2.125,25.225,20
2023/24,Hungary,HUN,3.25,4.5,4.25,2.75,5.875,20.625,25
2023/24,Iceland,ISL,1.5,0.625,0.625,1.5,3.0,7.25,48
2023/24,Ireland,IRL,1.0,1.25,1.875,2.875,3.375,10.375,36
2023/24,Israel,ISR,2.625,2.375,7.0,6.75,6.25,25.0,21
2023/24,Italy,ITA,12.642,14.928,16.285,15.714,22.357,81.926,4
2023/24,Kazakhstan,KAZ,4.25,3.375,1.0,2.875,1.125,12.625,30
2023/24,Kosovo,KOS,2.5,1.5,1.833,2.333,2.875,11.041,33
2023/24,Latvia,LAT,1.625,2.25,1.375,2.625,2.75,10.625,35
2023/24,Liechtenstein,LIE,1.5,2.5,0.5,0.0,6.5,11.0,34
2023/24,Lithuania,LIT,2.625,1.625,1.625,1.75,2.375,10.0,38
2023/24,Luxembourg,LUX,2.625,3.0,1.0,1.25,1.125,9.0,42
2023/24,Malta,MLT,1.5,0.75,1.5,1.875,2.625,8.25,45
2023/24,Moldova,MOL,1.125,0.75,1.375,5.25,3.75,12.25,32
2023/24,Montenegro,MON,0.375,1.0,1.625,0.75,1.0,4.75,54
2023/24,Netherlands,NED,8.6,9.4,9.2,19.2,13.5,59.9,6
2023/24,North Macedonia,MAC,1.0,0.5,1.75,0.625,1.625,5.5,52
2023/24,Northern Ireland,NIR,0.5,2.375,2.833,1.625,1.25,8.583,44
2023/24,Norway,NOR,5.375,3.75,6.5,7.625,5.75,29.0,16
2023/24,Poland,POL,2.25,2.125,4.0,4.625,7.75,20.75,24
2023/24,Portugal,POR,10.9,10.3,9.6,12.916,12.5,56.216,7
2023/24,Romania,ROM,2.375,5.875,3.75,2.25,6.25,20.5,26
2023/24,San Marino,SMA,0.5,0.0,0.5,0.166,0.833,1.999,55
2023/24,Scotland,SCO,6.75,9.75,8.5,7.9,3.5,36.4,9
2023/24,Serbia,SRB,6.0,6.0,5.5,9.5,5.375,32.375,11
2023/24,Slovakia,SVK,5.125,3.0,1.5,4.125,6.0,19.75,28
2023/24,Slovenia,SLO,3.125,2.0,2.25,3.0,2.125,12.5,31
2023/24,Spain,ESP,19.571,18.928,19.5,18.428,16.571,92.998,2
2023/24,Sweden,SWE,4.125,5.75,2.5,5.125,6.25,23.75,23
2023/24,Switzerland,SUI,3.9,6.4,5.125,7.75,8.5,31.675,13
2023/24,Türkiye,TUR,5.5,5.0,3.1,6.7,11.8,32.1,12
2023/24,Ukraine,UKR,5.6,7.2,6.8,4.2,5.7,29.5,14
2023/24,Wales,WAL,1.0,1.0,1.5,1.5,1.166,6.166,50
