candidate,dev_log_loss,dev_brier,dev_accuracy,dev_spearman,season_log_loss_std,validation_log_loss
cup_base_0.40_double_0.12,0.6178710193914543,0.1607103851676694,0.7000045755366032,0.4220806123998351,0.00921746348702685,0.6206805313755764
cup_base_0.40_double_0.08,0.6178721079395965,0.16071057337701114,0.7000045755366032,0.4221131957227968,0.00921187513939066,0.6206892981141129
cup_base_0.40_double_0.04,0.6178750224555937,0.16071130839222397,0.7006497368269258,0.4221908459314002,0.009200580099143034,0.620707829784305
cup_base_0.40_double_0.00,0.6178789203749799,0.160712521607244,0.7014415267863019,0.4222785102437376,0.009189128587857873,0.6207276925828563
cup_base_0.50_double_0.12,0.6179506741852769,0.1607490033063739,0.7007208569691661,0.4209653220601548,0.00931194381080019,0.6207957643391183
cup_base_0.50_double_0.08,0.6179517893748806,0.1607492030278941,0.7007208569691661,0.4209438384944145,0.009306397057862575,0.6208045310776548
cup_base_0.50_double_0.04,0.617954757151063,0.1607499610038913,0.7013660182594886,0.42104753134063944,0.009295184913355103,0.6208230627478469
cup_base_0.50_double_0.00,0.6179587083001878,0.16075119709476668,0.7021578082188648,0.4211618433170096,0.009283815888071664,0.6208429255463983
cup_base_0.62_double_0.12,0.6180501729376443,0.1607984996260529,0.7013660182594886,0.4198826995881195,0.009404056061013591,0.6208481855281477
cup_base_0.62_double_0.08,0.6180513348999455,0.16079871975435533,0.7013660182594886,0.4199095398763171,0.00939852692881778,0.6208569883743414
cup_base_0.62_double_0.04,0.6180543961800032,0.16079951845249818,0.7020111795498112,0.42004095114169576,0.009387348521121455,0.6208755922240815
cup_base_0.62_double_0.00,0.6180584407773648,0.16080079514319648,0.7024003930196543,0.42010732473514323,0.009376011203390981,0.6208955271541701
cup_base_0.70_double_0.12,0.6181512957567926,0.1608498119468644,0.6999201913076585,0.4192693375534114,0.009442677247416912,0.6208508962645606
cup_base_0.70_double_0.08,0.6181525606954008,0.16085008084049465,0.6999201913076585,0.41930192087133966,0.009437085908676682,0.6208597906450577
cup_base_0.70_double_0.04,0.6181558278368767,0.16085097685682925,0.7005653525979811,0.41936582641247944,0.009425781472028385,0.6208785774865634
cup_base_0.70_double_0.00,0.6181600781706065,0.16085235057651245,0.7009634417699556,0.4195121915764736,0.009414315960505184,0.6208986953004916
cup_base_0.80_double_0.12,0.6182138712050931,0.1608856708965259,0.6985587485847731,0.4184438602647158,0.009554963296167484,0.6208805987747188
cup_base_0.80_double_0.08,0.6182154105703078,0.16088607453676376,0.6985587485847731,0.4184823140830912,0.009549263940754636,0.6208897169743409
cup_base_0.80_double_0.04,0.618219226385126,0.16088723972793398,0.6992039098750957,0.4185999050477634,0.00953774327915485,0.6209089512119431
cup_base_0.80_double_0.00,0.6182240251391021,0.16088888217395747,0.6999956998344717,0.41874548531659744,0.00952606128767141,0.6209295160828777
