candidate,dev_log_loss,dev_brier,dev_accuracy,dev_spearman,season_log_loss_std,validation_log_loss
percentile_f0.05_s0.70_d1.3,0.6180513348999455,0.16079871975435533,0.7013660182594886,0.4199095398763171,0.00939852692881778,0.6208569883743414
percentile_f0.05_s0.80_d1.3,0.6180764572603382,0.1607944940675715,0.6996889805436892,0.42060874715847485,0.009426656124151946,0.6213715962061741
percentile_f0.10_s0.70_d1.3,0.6181212849118578,0.16081648602062826,0.7000960443507808,0.420508125634358,0.00940758631179999,0.6212213946238448
percentile_f0.05_s0.60_d1.3,0.618128107777137,0.16084755045214294,0.7020245425695012,0.41903778052873786,0.009371879882704626,0.6204377794977752
percentile_f0.10_s0.60_d1.3,0.6181314943646559,0.1608372709713632,0.7013660182594886,0.4194993282452696,0.009373423192200735,0.620760076354314
percentile_f0.05_s0.90_d1.3,0.6181761694518295,0.160822477108371,0.7016040168097342,0.42191560175798526,0.009448928895935895,0.6219565079449659
percentile_f0.15_s0.60_d1.3,0.6181776336311302,0.16084443786602515,0.7016174787624097,0.42003443970646154,0.009381098114766012,0.6210925596826302
percentile_f0.10_s0.80_d1.3,0.6181934979475099,0.16083280971833397,0.7012059276377597,0.4215419842460899,0.009425990003181053,0.6217768245879309
percentile_f0.10_s0.50_d1.3,0.6181961829544144,0.1608800696349267,0.7004276985640445,0.4186367519093194,0.009370921594291095,0.620355133154141
percentile_f0.05_s0.70_d1.0,0.6182115622156981,0.16085595836580124,0.7004186249959421,0.4199685987694209,0.009375528183728667,0.6211723624728358
percentile_f0.05_s0.50_d1.3,0.6182131282781902,0.1608977069136584,0.6977075093189337,0.41818102045708266,0.009403217741699832,0.6201277062146102
percentile_f0.15_s0.70_d1.3,0.6182242868651626,0.1608489605767854,0.7012059276377597,0.4210644176079422,0.009404351673421884,0.6216184062060015
percentile_f0.15_s0.50_d1.3,0.6182252457731097,0.16088175101429203,0.7024137560393442,0.41920288006755396,0.00934602930291997,0.6206449476168875
percentile_f0.05_s0.60_d1.0,0.6182290058070787,0.1608821068036691,0.7028118452113188,0.4193131266337053,0.009342347740747013,0.6206727741839752
percentile_f0.20_s0.50_d1.3,0.6182474016744751,0.1608784132941148,0.7013660182594886,0.41941958033202736,0.009353980397791953,0.6209841236412447
percentile_f0.10_s0.60_d1.0,0.6182537532360569,0.1608797702342573,0.7013660182594886,0.4194523966709912,0.009351662818545216,0.6210136257318044
