candidate,dev_log_loss,dev_brier,dev_accuracy,dev_spearman,season_log_loss_std,validation_log_loss
domestic_component_200_alpha_0.0,0.6184414620639376,0.16092880931306003,0.7020065932992672,0.4211108381914221,0.009376983846744914,0.6219817311684009
domestic_component_160_alpha_0.0,0.6184757597643779,0.16096774860221677,0.7010300745946374,0.42110302745419603,0.009359762593532795,0.6210860644944134
domestic_component_160_alpha_0.1,0.618620461371993,0.16102201373640457,0.7010879306501733,0.42187735425450584,0.009201211855345705,0.6214435778579812
domestic_component_200_alpha_0.1,0.6186425614830664,0.1610086164368941,0.7015418713026109,0.4224704126957594,0.00919101796938239,0.6224391823577985
domestic_component_240_alpha_0.0,0.6186907015704559,0.16100574717834928,0.698556858534889,0.42172489958891923,0.00944652105680402,0.6232643343257916
domestic_component_120_alpha_0.0,0.6187995825233639,0.16112979877332578,0.6965548407722251,0.4212456957414029,0.00938237477697338,0.6205867750534947
domestic_component_160_alpha_0.2,0.6188350081182602,0.16110803197494478,0.6979828173868067,0.4227406208573836,0.009051682137775862,0.6218662438184979
domestic_component_120_alpha_0.1,0.6188965610417265,0.1611639489185522,0.6960811441404517,0.4220138761701714,0.009257140212881982,0.6208492471229037
domestic_component_200_alpha_0.2,0.618952817668438,0.161138199935061,0.7015373839850524,0.4227715587653889,0.009018791486046042,0.6229983237297585
domestic_component_240_alpha_0.1,0.6189574254744497,0.1611170534668078,0.6976272166756052,0.422836671645932,0.009240047227010465,0.6238272737291582
domestic_component_120_alpha_0.2,0.6190328045166222,0.16121587999305237,0.6972622465026564,0.4221918681304682,0.009137091058763596,0.6211483904253087
domestic_component_280_alpha_0.0,0.6192168854439017,0.16119065677331007,0.6949576999678118,0.4218755551422912,0.009580974826792571,0.6249233010146636
domestic_component_240_alpha_0.2,0.6193813133298244,0.16130018578888655,0.697840379236355,0.4226287854832771,0.009052732118294783,0.6245364220261772
domestic_component_80_alpha_0.0,0.6194182227898957,0.16142130095476864,0.6933566654437533,0.4203302438846858,0.009433362731173966,0.6204919833059734
domestic_component_120_alpha_0.4,0.6194240269249173,0.16137417981440855,0.6937634324518882,0.4226377826250457,0.00891245550119784,0.6218575942842309
domestic_component_80_alpha_0.1,0.6194755750622979,0.1614401550249508,0.6940062151186489,0.421134342104003,0.009346300573134545,0.6206636385311493
domestic_component_160_alpha_0.4,0.6194757731528975,0.161377763724074,0.6963324067774016,0.42315366431555373,0.008779331129250237,0.6229090881483659
domestic_component_80_alpha_0.2,0.6195503616738209,0.16146686620347428,0.6925647765513917,0.42129377889494024,0.009261589121699396,0.6208515944735232
domestic_component_280_alpha_0.1,0.6195589791604562,0.16133985959505293,0.6963324067774016,0.42228414607781056,0.009361718375031788,0.6255979016735511
domestic_component_80_alpha_0.4,0.619752527847167,0.16154420298784825,0.6926491607803363,0.42239888255136276,0.009099206131719016,0.6212766866416948
domestic_component_200_alpha_0.4,0.619904783884374,0.16155112583558173,0.6973135117325754,0.42159822949195447,0.008714587674809298,0.6244255130320513
domestic_component_120_alpha_0.6,0.6199750339380503,0.16160672980884302,0.6948066829141853,0.4234537907677077,0.008708233533083235,0.6227160983500785
domestic_component_320_alpha_0.0,0.6200129103732106,0.16147518229723234,0.6960517219004119,0.42168738338160283,0.00979200324492047,0.6269471229390183
domestic_component_80_alpha_0.6,0.6200252826373789,0.16165396806991955,0.6931805156016745,0.4226498730335052,0.00894617939904751,0.6217677978711134
domestic_component_280_alpha_0.2,0.6201148868672393,0.1615869134320675,0.6945682886319976,0.42135191409040107,0.009167471068133048,0.6264711169922043
domestic_component_80_alpha_0.8,0.6203691567048525,0.16179676842930346,0.6919905375373383,0.42283336049125747,0.008802459370663361,0.6223254359250364
domestic_component_160_alpha_0.6,0.6204020114998896,0.1617812894640837,0.694588835169906,0.4213195132189328,0.008541864081447116,0.6242183958737676
domestic_component_320_alpha_0.1,0.620440598423394,0.16166902205812467,0.6967723917175477,0.4211352631632318,0.009568148292617859,0.6277401380962063
domestic_component_120_alpha_0.8,0.6206874473940018,0.16191528958336676,0.6911303236363819,0.42201993976427554,0.008524122790471305,0.6237254533058627
domestic_component_240_alpha_0.4,0.6207071293432631,0.16188899185002809,0.6957805054181552,0.42060584967060155,0.008733411395644819,0.6263996581381207
domestic_component_80_alpha_1.0,0.6207846486590081,0.1619731576043122,0.6919194173950981,0.4232662848696779,0.008667982558661682,0.6229500766572208
domestic_component_360_alpha_0.0,0.6210712583395778,0.161850729994172,0.6958047487150494,0.4207802370659949,0.010089277709031959,0.6293235546218126
domestic_component_320_alpha_0.2,0.6211473247970657,0.16199063679852999,0.6930176298463,0.4202021955858924,0.009375219832094862,0.628791949179878
domestic_component_200_alpha_0.6,0.6213045372231669,0.16217510448655,0.6951556927997699,0.41835850893440785,0.008462154957337506,0.6262701916754915
domestic_component_120_alpha_1.0,0.6215627172283057,0.16230132211277587,0.6899287736692543,0.42050025167467464,0.008359767428183415,0.6248870376331203
domestic_component_360_alpha_0.1,0.621595200141392,0.1620961905464869,0.6933999565968814,0.4194079600107914,0.009868970796703515,0.6302422661878793
domestic_component_160_alpha_0.8,0.6216171467609446,0.1623220404648431,0.6928248159574876,0.4180753419787622,0.008338264967112402,0.6257974349578274
domestic_component_280_alpha_0.4,0.6218779982486339,0.16238481948964908,0.6925794360230525,0.41774763014905303,0.008849803966428748,0.6288229013010971
domestic_component_400_alpha_0.0,0.6223840910356159,0.16230866416039233,0.6915560404730767,0.4201406332612717,0.01047966637292801,0.6320398064327166
domestic_component_360_alpha_0.2,0.6224718954325432,0.16250314855013007,0.691674037460663,0.41941693367175353,0.00968514168748876,0.6314876028559289
domestic_component_240_alpha_0.6,0.6226795704259989,0.16278340661948565,0.6959227457026358,0.4138092936932124,0.008483802624136382,0.6288650148679849
domestic_component_400_alpha_0.1,0.6230153331356132,0.1626128749551392,0.6910777575907593,0.41868678197848963,0.010270475532397882,0.633091966751135
domestic_component_160_alpha_1.0,0.6231240338353102,0.16300244521382345,0.6921770573994905,0.41242873687508314,0.008167425469275492,0.6276489011832265
domestic_component_200_alpha_0.8,0.6231579109655061,0.1630153100893073,0.6972929651946671,0.4118130221235091,0.008259006828731097,0.6285379123505509
domestic_component_320_alpha_0.4,0.6234117732255734,0.1630309986625446,0.6920232452122186,0.41442022254442135,0.009074870170214681,0.6316853699411896
domestic_component_400_alpha_0.2,0.6240814372999883,0.16311598083559573,0.6924614390354662,0.4184612555565155,0.010102503773024997,0.6345460870232909
domestic_component_280_alpha_0.6,0.6245227636969938,0.1635993624496901,0.6951487071475225,0.40840979525521703,0.008619167902369064,0.6319945515194993
domestic_component_360_alpha_0.4,0.6253021135381667,0.16381906461513843,0.6903393207771574,0.4104852337936958,0.00941546944270809,0.6349761128196846
domestic_component_240_alpha_0.8,0.6253072001772899,0.16398963405616007,0.6951443187629496,0.4034577811054669,0.008298977803196977,0.6319406098415713
domestic_component_200_alpha_1.0,0.6254693016227981,0.1640743569136407,0.6952154389051899,0.4014521679662022,0.008102665907966726,0.6312327785303529
domestic_component_320_alpha_0.6,0.6268285359096807,0.16461428323773322,0.6869899305290882,0.4016109352338668,0.00887647823935482,0.6356488000933281
domestic_component_400_alpha_0.4,0.627542042628232,0.1647399145805032,0.688960126650009,0.4060477481344058,0.009873631982351371,0.6386832769307055
domestic_component_280_alpha_0.8,0.6280603298916902,0.16523596932171103,0.6874459746895841,0.39341355878187645,0.008467259952979289,0.6359965693093852
domestic_component_240_alpha_1.0,0.6285955330067536,0.16550844480292526,0.6881888832285413,0.38851782103427246,0.008174567208789223,0.635631483022528
domestic_component_360_alpha_0.6,0.629590159946538,0.1658178736882302,0.6861805870314204,0.3927516970213343,0.00925876390674874,0.6398162478427608
domestic_component_320_alpha_0.8,0.6314105589194547,0.16674198641188143,0.6848165470408605,0.3805601670622377,0.008767863364605968,0.6406943257353778
