candidate,season,matches,log_loss,brier,decisive_accuracy,mean_season_spearman,stage
home_advantage_0,2021/22,816,0.6462842555662679,0.16945695104344843,0.697452229299363,0.4210560891398652,home_advantage
home_advantage_0,2022/23,804,0.6611736918224902,0.17751099011296334,0.6763285024154589,0.39381679787156154,home_advantage
home_advantage_0,2023/24,806,0.6404610675042129,0.17123229377216545,0.705511811023622,0.4104813888887078,home_advantage
home_advantage_0,2024/25,957,0.6536904677374853,0.1832817911224738,0.6425806451612903,0.4440368160685751,home_advantage
home_advantage_0,2025/26,961,0.6629321834555927,0.1861047211547648,0.6360103626943006,0.3659725937522065,home_advantage
home_advantage_10,2021/22,816,0.6415335651752634,0.1672304894191627,0.695859872611465,0.4210560891398652,home_advantage
home_advantage_10,2022/23,804,0.6565844469796966,0.17534129280466612,0.6553945249597424,0.39381679787156154,home_advantage
home_advantage_10,2023/24,806,0.6356621556121042,0.16901056174081172,0.7165354330708661,0.4104813888887078,home_advantage
home_advantage_10,2024/25,957,0.648513229291801,0.18079712243060814,0.6567741935483871,0.4440368160685751,home_advantage
home_advantage_10,2025/26,961,0.6583501356008946,0.1839478966299884,0.6463730569948186,0.3659725937522065,home_advantage
home_advantage_20,2021/22,816,0.6375666620173723,0.16539489433514967,0.714968152866242,0.4210560891398652,home_advantage
home_advantage_20,2022/23,804,0.6527791406979893,0.17355134547263779,0.6553945249597424,0.39381679787156154,home_advantage
home_advantage_20,2023/24,806,0.6316434975719565,0.1671785452389107,0.7133858267716535,0.4104813888887078,home_advantage
home_advantage_20,2024/25,957,0.6441243621122581,0.1787034908559156,0.6825806451612904,0.4440368160685751,home_advantage
home_advantage_20,2025/26,961,0.654556720145274,0.18217532064159767,0.6437823834196891,0.3659725937522065,home_advantage
home_advantage_30,2021/22,816,0.6343818749384131,0.16395040843237754,0.6990445859872612,0.4210560891398652,home_advantage
home_advantage_30,2022/23,804,0.6497561131818996,0.17214146405250727,0.6489533011272142,0.39381679787156154,home_advantage
home_advantage_30,2023/24,806,0.6284034804967058,0.16573648568417368,0.6976377952755906,0.4104813888887078,home_advantage
home_advantage_30,2024/25,957,0.6405221662570452,0.1770016931719098,0.6890322580645162,0.4440368160685751,home_advantage
home_advantage_30,2025/26,961,0.6515502408414291,0.1807871498574345,0.6463730569948186,0.3659725937522065,home_advantage
home_advantage_40,2021/22,816,0.6319764329415553,0.1628952048492839,0.697452229299363,0.4210560891398652,home_advantage
home_advantage_40,2022/23,804,0.6475126019651063,0.17110994866266577,0.6505636070853462,0.39381679787156154,home_advantage
home_advantage_40,2023/24,806,0.6259394131394,0.16468260986669234,0.6866141732283465,0.4104813888887078,home_advantage
home_advantage_40,2024/25,957,0.637703817646262,0.17569041323809326,0.7058064516129032,0.4440368160685751,home_advantage
home_advantage_40,2025/26,961,0.6493278755821489,0.17978146883180277,0.6450777202072538,0.3659725937522065,home_advantage
home_advantage_50,2021/22,816,0.6303464798233318,0.1622254251400778,0.6926751592356688,0.4210560891398652,home_advantage
home_advantage_50,2022/23,804,0.6460447566297105,0.1704531200966656,0.6570048309178744,0.39381679787156154,home_advantage
home_advantage_50,2023/24,806,0.6242475397073275,0.1640131652478464,0.6834645669291338,0.4104813888887078,home_advantage
home_advantage_50,2024/25,957,0.6356653834219701,0.17476625731698356,0.6890322580645162,0.4440368160685751,home_advantage
home_advantage_50,2025/26,961,0.6478856917040552,0.17915432996782446,0.6424870466321243,0.3659725937522065,home_advantage
home_advantage_60,2021/22,816,0.6294870944444296,0.16193523833898696,0.6767515923566879,0.4210560891398652,home_advantage
home_advantage_60,2022/23,804,0.6453476592144485,0.17016537711415622,0.6537842190016103,0.39381679787156154,home_advantage
home_advantage_60,2023/24,806,0.6233230590547408,0.16372247506342422,0.6913385826771653,0.4104813888887078,home_advantage
home_advantage_60,2024/25,957,0.6344018431913172,0.17422381157985808,0.6838709677419355,0.4440368160685751,home_advantage
home_advantage_60,2025/26,961,0.647218667192821,0.17889981509884212,0.6321243523316062,0.3659725937522065,home_advantage
home_advantage_70,2021/22,816,0.6293923164221442,0.16201692002557322,0.6767515923566879,0.4210560891398652,home_advantage
home_advantage_70,2022/23,804,0.6454153500935206,0.17023927339120778,0.6473429951690821,0.39381679787156154,home_advantage
home_advantage_70,2023/24,806,0.623160149062057,0.16380301223294147,0.6803149606299213,0.4104813888887078,home_advantage
home_advantage_70,2024/25,957,0.6339071159209336,0.1740557206240515,0.68,0.4440368160685751,home_advantage
home_advantage_70,2025/26,961,0.6473207175594913,0.17901011745622614,0.6282383419689119,0.3659725937522065,home_advantage
home_advantage_80,2021/22,816,0.6300551769767144,0.16246094991869942,0.6687898089171974,0.4210560891398652,home_advantage
home_advantage_80,2022/23,804,0.646240859051823,0.17066561266314492,0.6473429951690821,0.39381679787156154,home_advantage
home_advantage_80,2023/24,806,0.6237519959593201,0.1642454907863452,0.6740157480314961,0.4104813888887078,home_advantage
home_advantage_80,2024/25,957,0.6341740921923082,0.17425278546863937,0.68,0.4440368160685751,home_advantage
home_advantage_80,2025/26,961,0.6481847280988289,0.17947564245001552,0.6321243523316062,0.3659725937522065,home_advantage
home_advantage_90,2021/22,816,0.6314677346136559,0.16325612623787697,0.6560509554140127,0.4210560891398652,home_advantage
home_advantage_90,2022/23,804,0.6478162412312524,0.17143356030525989,0.6360708534621579,0.39381679787156154,home_advantage
home_advantage_90,2023/24,806,0.6250908283054464,0.1650389732591446,0.6771653543307087,0.4104813888887078,home_advantage
home_advantage_90,2024/25,957,0.6351946714745733,0.1748040791822182,0.6774193548387096,0.4440368160685751,home_advantage
home_advantage_90,2025/26,961,0.6498025911870006,0.18028512539073605,0.6269430051813472,0.3659725937522065,home_advantage
home_advantage_100,2021/22,816,0.6336211152794112,0.1643896948269618,0.6576433121019108,0.4210560891398652,home_advantage
home_advantage_100,2022/23,804,0.6501326175772566,0.1725307693555175,0.6376811594202898,0.39381679787156154,home_advantage
home_advantage_100,2023/24,806,0.6271679552929738,0.1661709922829448,0.6755905511811023,0.4104813888887078,home_advantage
home_advantage_100,2024/25,957,0.6369598040238625,0.1756970780334372,0.6683870967741935,0.4440368160685751,home_advantage
home_advantage_100,2025/26,961,0.6521652482282672,0.18142576403218064,0.6243523316062176,0.3659725937522065,home_advantage
official_multiplier_0.50,2021/22,816,0.6671215538126709,0.17962306683186738,0.6162420382165605,0.3209415019813597,official_baseline
official_multiplier_0.50,2022/23,804,0.6698638150537486,0.18166640099517306,0.6119162640901772,0.3151326239462594,official_baseline
official_multiplier_0.50,2023/24,806,0.6650456964451268,0.18320844694759975,0.6141732283464567,0.3633653102662108,official_baseline
official_multiplier_0.50,2024/25,957,0.6644594386958955,0.18837377403747116,0.6193548387096774,0.3625169040352502,official_baseline
official_multiplier_0.50,2025/26,961,0.6715496383850439,0.19020979303099808,0.6075129533678757,0.2697117538768142,official_baseline
official_multiplier_0.75,2021/22,816,0.6628291621458031,0.1775607641253141,0.6194267515923567,0.3209415019813597,official_baseline
official_multiplier_0.75,2022/23,804,0.6663143532502479,0.1799836452947331,0.6183574879227053,0.3151326239462594,official_baseline
official_multiplier_0.75,2023/24,806,0.6599629665260148,0.18080064739130797,0.6173228346456693,0.3633653102662108,official_baseline
official_multiplier_0.75,2024/25,957,0.6603673434106679,0.18642769708861817,0.6206451612903225,0.3625169040352502,official_baseline
official_multiplier_0.75,2025/26,961,0.6687987875666122,0.1889039879112245,0.6113989637305699,0.2697117538768142,official_baseline
official_multiplier_1.00,2021/22,816,0.6590475018777511,0.17574704953785464,0.6321656050955414,0.3209415019813597,official_baseline
official_multiplier_1.00,2022/23,804,0.6632625229764153,0.17855605891537638,0.6296296296296297,0.3151326239462594,official_baseline
official_multiplier_1.00,2023/24,806,0.6554878696716753,0.1787004743492626,0.6157480314960629,0.3633653102662108,official_baseline
official_multiplier_1.00,2024/25,957,0.656838126863062,0.18476476590958033,0.6283870967741936,0.3625169040352502,official_baseline
official_multiplier_1.00,2025/26,961,0.6665266130612737,0.1878371618167719,0.6101036269430051,0.2697117538768142,official_baseline
official_multiplier_1.25,2021/22,816,0.6557687608176453,0.17417636829380093,0.6321656050955414,0.3209415019813597,official_baseline
official_multiplier_1.25,2022/23,804,0.6607008943243521,0.17738003748966627,0.6264090177133655,0.3151326239462594,official_baseline
official_multiplier_1.25,2023/24,806,0.6516098956604323,0.17689836157428807,0.6236220472440945,0.3633653102662108,official_baseline
official_multiplier_1.25,2024/25,957,0.6538613750916994,0.18337692080110468,0.6309677419354839,0.3625169040352502,official_baseline
official_multiplier_1.25,2025/26,961,0.6647262340056249,0.18700364102677083,0.6075129533678757,0.2697117538768142,official_baseline
official_multiplier_1.50,2021/22,816,0.6529832152139619,0.17283996059370318,0.6401273885350318,0.3209415019813597,official_baseline
official_multiplier_1.50,2022/23,804,0.6586202304960352,0.1764484815318694,0.6328502415458938,0.3151326239462594,official_baseline
official_multiplier_1.50,2023/24,806,0.6483160296229438,0.17538030871432278,0.6283464566929133,0.3633653102662108,official_baseline
official_multiplier_1.50,2024/25,957,0.6514242190722174,0.18225162450064517,0.64,0.3625169040352502,official_baseline
official_multiplier_1.50,2025/26,961,0.6633890536898077,0.18639454252457088,0.6139896373056994,0.2697117538768142,official_baseline
official_multiplier_1.75,2021/22,816,0.6506794369959606,0.1717263554089638,0.6496815286624203,0.3209415019813597,official_baseline
official_multiplier_1.75,2022/23,804,0.6570096912081054,0.1757512670168421,0.6264090177133655,0.3151326239462594,official_baseline
official_multiplier_1.75,2023/24,806,0.645591084770453,0.1741288412549834,0.6440944881889764,0.3633653102662108,official_baseline
official_multiplier_1.75,2024/25,957,0.6495117054822206,0.18137285162890154,0.655483870967742,0.3625169040352502,official_baseline
official_multiplier_1.75,2025/26,961,0.6625049684315356,0.18599832713720738,0.616580310880829,0.2697117538768142,official_baseline
official_multiplier_2.00,2021/22,816,0.6488445257383253,0.17082193689816022,0.6592356687898089,0.3209415019813597,official_baseline
official_multiplier_2.00,2022/23,804,0.6558570590051448,0.17527580424853695,0.6312399355877617,0.3151326239462594,official_baseline
official_multiplier_2.00,2023/24,806,0.6434180668759837,0.1731240387558758,0.6503937007874016,0.3633653102662108,official_baseline
official_multiplier_2.00,2024/25,957,0.6481071955972363,0.1807221525084333,0.6541935483870968,0.3625169040352502,official_baseline
official_multiplier_2.00,2025/26,961,0.6620625992232809,0.18580143254332002,0.6152849740932642,0.2697117538768142,official_baseline
official_multiplier_2.25,2021/22,816,0.6474643553113717,0.1701115440477311,0.6592356687898089,0.3209415019813597,official_baseline
official_multiplier_2.25,2022/23,804,0.6551489781408002,0.17500764091515958,0.6264090177133655,0.3151326239462594,official_baseline
official_multiplier_2.25,2023/24,806,0.6417785516714133,0.172344543712818,0.6566929133858268,0.3633653102662108,official_baseline
official_multiplier_2.25,2024/25,957,0.6471927689728599,0.18027968660308233,0.6606451612903226,0.3625169040352502,official_baseline
official_multiplier_2.25,2025/26,961,0.6620495325659426,0.18578892202096686,0.6269430051813472,0.2697117538768142,official_baseline
official_multiplier_2.50,2021/22,816,0.6465238253903464,0.16957906460736885,0.6640127388535032,0.3209415019813597,official_baseline
official_multiplier_2.50,2022/23,804,0.6548711960559067,0.17493106618025783,0.6264090177133655,0.3151326239462594,official_baseline
official_multiplier_2.50,2023/24,806,0.6406530577376709,0.17176847835802267,0.6535433070866141,0.3633653102662108,official_baseline
official_multiplier_2.50,2024/25,957,0.6467496116687002,0.18002514295377273,0.6619354838709678,0.3625169040352502,official_baseline
