candidate,dev_log_loss,dev_brier,dev_accuracy,dev_spearman,season_log_loss_std,validation_log_loss
europe_b28_boost480,0.6316135129739308,0.1669295035079512,0.6684044365156332,0.4173507282211234,0.009716060878462078,0.6338508225769995
europe_b32_boost480,0.6316741726482961,0.16694298310115238,0.671186870200853,0.41780784792460435,0.009357643856536816,0.6339934804720859
europe_b32_boost540,0.632066678168562,0.16715393791147837,0.6708448459675158,0.41779564860656737,0.010709920606045318,0.634561555038791
europe_b24_boost480,0.6321780811760903,0.167190581344213,0.6686072290563096,0.4174213484207465,0.010257503817795702,0.6338188147220182
europe_b24_boost420,0.6324519855276454,0.1672641176795856,0.6734334617471762,0.41715055287305425,0.008755162656087527,0.6340390777657
europe_b28_boost420,0.6325789625931506,0.16730414018578585,0.6704972158746845,0.41740385484935866,0.00827791416979024,0.6346911392651293
europe_b28_boost540,0.632627120430917,0.16739688998483263,0.6686765580816514,0.4171695190410547,0.011103260166411291,0.6350348083911511
europe_b20_boost420,0.6329687328746638,0.1675287315684435,0.6711023870389228,0.4173477729921774,0.009394997143605286,0.6339071159209336
europe_b32_boost420,0.6331440717609383,0.1675453609665455,0.6696346025720248,0.4163056227220598,0.007953452723463025,0.6353322100062285
europe_b20_boost480,0.6336400380240428,0.1678566525732712,0.6694061036009187,0.41707189339760664,0.01099358786892371,0.63456677121296
europe_b16_boost420,0.6338221188667246,0.16795538891915204,0.6674973457693307,0.41736894733827923,0.010115385534868845,0.634762028260495
europe_b24_boost540,0.6340203437027266,0.16798587560904818,0.6699641844616366,0.4154438296437508,0.011710584448053913,0.6357607277839243
europe_b16_boost360,0.6346096778637963,0.16824140344993305,0.6734424363822932,0.41686957116872975,0.008380934082701076,0.6355713369956978
europe_b20_boost360,0.6347062849825837,0.1682520712579861,0.6697012353967065,0.4154518205915154,0.00773328398930366,0.635712273337595
europe_b24_boost360,0.6349477628178062,0.16833739576024542,0.6711558391176826,0.4136070512241486,0.0071880678548300716,0.6365297082991505
europe_b28_boost360,0.6356115417284602,0.16863028435192406,0.6723164938749644,0.41164593887972467,0.006776170816488382,0.6376454611417105
europe_b16_boost480,0.6356671826050228,0.16877974644518023,0.6677264686174449,0.41405799532375737,0.011791121153731729,0.6366539709838543
europe_b12_boost360,0.6357946864498132,0.1688603744084972,0.6655883900717718,0.41544504501819685,0.009608200839796088,0.637654441284513
europe_b12_boost420,0.6364943778540973,0.16924988110206918,0.665308709211529,0.41499773250355804,0.01162982628567544,0.6385199210782234
europe_b32_boost360,0.636551223062318,0.16905396991579544,0.6693537198290639,0.4089693231200233,0.006487092533079982,0.6386534084881451
europe_b20_boost540,0.6365912121243809,0.16907738854180016,0.6661028985726085,0.41277063677373615,0.012548441435852013,0.6375585688396691
europe_b16_boost300,0.6381643697464263,0.16980674337859017,0.6689734809943377,0.4104058876919491,0.006564358320698243,0.6392173174781136
europe_b12_boost300,0.6381913909313495,0.16986381224808156,0.6621049280235631,0.4142206965150957,0.007541057594732522,0.6399648260739352
europe_b20_boost300,0.6389603111022968,0.17016026009147506,0.6672317005037407,0.40634260123890065,0.005993701771082604,0.6400886773448824
europe_b24_boost300,0.6397517394611516,0.1705159002564648,0.6623626669609411,0.4015542351918372,0.00554712568656739,0.6413752534490839
europe_b16_boost540,0.6399865501657602,0.1705212634150085,0.6657821090443456,0.41133861949195133,0.013433993813227251,0.6410824645743866
europe_b12_boost480,0.640116349951225,0.1708116172427025,0.6609958664795633,0.41049619677279714,0.013629850006114951,0.6423835005868165
europe_b28_boost300,0.6407816861096574,0.1709922693868311,0.6567062318433385,0.3956342753143346,0.00520597169270495,0.6427820470452116
europe_b32_boost300,0.6419543521986837,0.17153740581665766,0.6525626522341899,0.3906875761790949,0.00495695577654403,0.6440131926943294
europe_b12_boost540,0.6464600061035819,0.1733036620112802,0.6649611936438864,0.4030556582953702,0.01563174838644591,0.6490349756493872
