candidate_key,axis,value,brier_1x2,log_loss_1x2,seed_spearman,seed_pairwise_accuracy,delta_brier_1x2,delta_log_loss_1x2,delta_seed_spearman,delta_seed_pairwise_accuracy
PRODUCTION,BASELINE,0.0,0.5654886632851426,0.954547466535786,0.46729900587284634,0.6617836677931181,0.0,0.0,0.0,0.0
max_g1.4,RELATIVE_BENCHMARK,1.4,0.5628507023102544,0.9507970816897255,0.47640530707742407,0.6649454292496397,-0.0026379609748882205,-0.003750384846060495,0.009106301204577727,0.0031617614565215835
max_g1.6,RELATIVE_BENCHMARK,1.6,0.562804878230597,0.9507220894734432,0.4769321476041133,0.6652461086033433,-0.0026837850545455844,-0.0038253770623428718,0.009633141731266948,0.003462440810225176
max_g2,RELATIVE_BENCHMARK,2.0,0.5631811990983266,0.9512452775997408,0.4750174887463331,0.6647356461764095,-0.002307464186815933,-0.0033021889360452805,0.007718482873486754,0.0029519783832913093
p95_g1.4,RELATIVE_BENCHMARK,1.4,0.562154856723338,0.9498144930299758,0.4757128341704496,0.6648837993102048,-0.0033338065618045976,-0.004732973505810256,0.008413828297603287,0.0031001315170866572
p95_g1.6,RELATIVE_BENCHMARK,1.6,0.5618808049412962,0.9494164588512106,0.476445245076814,0.6651723187843432,-0.0036078583438463596,-0.005131007684575417,0.009146239203967677,0.003388650991225095
p95_g2,RELATIVE_BENCHMARK,2.0,0.5618469490221378,0.9493585260938887,0.47596739904944835,0.6649914447306358,-0.003641714263004747,-0.005188940441897327,0.008668393176602007,0.0032077769375176146
top3_g1.4,RELATIVE_BENCHMARK,1.4,0.5624589925768242,0.9502441823330887,0.4764901996050204,0.665082547220943,-0.0030296707083183883,-0.004303284202697322,0.009191193732174086,0.003298879427824808
top3_g1.6,RELATIVE_BENCHMARK,1.6,0.562315645599156,0.9500307472128524,0.4774258049756478,0.6654633116243843,-0.0031730176859865455,-0.004516719322933627,0.010126799102801454,0.0036796438312661772
top3_g2,RELATIVE_BENCHMARK,2.0,0.5625193477023367,0.9503078934052179,0.4757255351296958,0.6649927970861684,-0.002969315582805887,-0.004239573130568108,0.008426529256849447,0.0032091292930502835
