model,matches,brier_1x2,log_loss_1x2,seed_spearman,seed_pairwise_accuracy,delta_vs_baseline_brier_1x2,delta_vs_baseline_log_loss_1x2,delta_vs_baseline_seed_spearman,delta_vs_baseline_seed_pairwise_accuracy
CURRENT_PRODUCTION,4884,0.5653030643728675,0.9546719922543117,0.46907238713123317,0.6629808746828236,0.0,0.0,0.0,0.0
NESTED_RECALIBRATION,4884,0.5617169698980411,0.9495703850792113,0.4747774788427928,0.6649235630310855,-0.0035860944748263845,-0.005101607175100331,0.00570509171155964,0.001942688348261834
