metric,method,folds,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
seed_spearman,season_block_bootstrap,6,0.005477872215611523,0.0012211957638550153,0.009626864184783193,True,False
seed_pairwise_accuracy,season_block_bootstrap,6,0.0018026565601408733,-0.0002271606528647848,0.003532283149251673,False,False
