fold,test_season,selected_candidate_key,matches,brier_1x2,baseline_brier_1x2,delta_brier_1x2,log_loss_1x2,baseline_log_loss_1x2,delta_log_loss_1x2,accuracy_1x2,seed_spearman,baseline_seed_spearman,delta_seed_spearman,seed_pairwise_accuracy,baseline_seed_pairwise_accuracy,delta_seed_pairwise_accuracy
1,2020/21,p95_g2,540,0.5134621751688897,0.521268836110135,-0.007806660941245212,0.8781191410238339,0.8891038814850132,-0.010984740461179176,0.6185185185185185,0.47430710069553444,0.46659507229731434,0.0077120283982201054,0.6662117511851745,0.664344203419049,0.0018675477661255213
2,2021/22,p95_g2,816,0.5707310249469065,0.5730020331664798,-0.0022710082195733046,0.9630268271054214,0.9661247686377575,-0.003097941532335998,0.5465686274509803,0.4703492810222546,0.4684155236998987,0.0019337573223559001,0.6620533467539004,0.6612624919117118,0.0007908548421885486
3,2022/23,p95_g2,804,0.5790191891438299,0.5809083894808589,-0.0018892003370289906,0.9744032169226289,0.9771286292082525,-0.002725412285623518,0.5360696517412935,0.47035299993777224,0.46603708623701895,0.004315913700753293,0.66514187957901,0.6623154449775001,0.0028264346015099973
4,2023/24,p95_g2,806,0.5549607895732139,0.5579529767946697,-0.002992187221455721,0.9399875921764126,0.944342572923959,-0.00435498074754622,0.5669975186104218,0.4883883944539373,0.49173194096582595,-0.003343546511888673,0.6670726755988632,0.6700007381708127,-0.0029280625719495523
5,2024/25,p95_g2,957,0.5602322140914879,0.5647499644830538,-0.0045177503915659,0.948069186492462,0.95454775338095,-0.006478566888488019,0.5632183908045977,0.5089898378515804,0.5001808961288339,0.008808941722746488,0.6777524182154113,0.6739484838604499,0.0038039343549614024
6,2025/26,p95_g2,961,0.5738475928001592,0.5771687569036087,-0.003321164103449526,0.9670500899924085,0.9717901886722432,-0.0047400986798346876,0.5598335067637877,0.43701792536383643,0.4235777867023544,0.013440138661482026,0.6518762677484787,0.6474210373804694,0.004455230368009322
