fold,train_seasons,test_season,selected_candidate_key
1,2018/19|2019/20,2020/21,relative_g1.6
2,2018/19|2019/20|2020/21,2021/22,relative_g2
3,2018/19|2019/20|2020/21|2021/22,2022/23,relative_g1.6
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,relative_g1.6
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,relative_g1.6
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,relative_g1.6
