fold,train_seasons,test_season,selected_candidate_key
1,2018/19|2019/20,2020/21,p95_g2
2,2018/19|2019/20|2020/21,2021/22,p95_g2
3,2018/19|2019/20|2020/21|2021/22,2022/23,p95_g2
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,p95_g2
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,p95_g2
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,p95_g2
