competition,matches,brier_1x2,baseline_brier_1x2,delta_brier_1x2,log_loss_1x2,baseline_log_loss_1x2,delta_log_loss_1x2
UCL,1384,0.5432735811311725,0.5463301544065282,-0.00305657327535573,0.9226201293456388,0.9269594827035859,-0.004339353357947283
UECL,2073,0.5770111917934179,0.5771482556286782,-0.00013706383526046633,0.971773262251142,0.9722405407569221,-0.0004672785057800388
UEL,1427,0.5615905305791586,0.5664967755992991,-0.004906245020140617,0.9493732288403453,0.9560276419896254,-0.006654413149280153
