metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
brier,tie_or_match,4884,1612,-0.003586094474826456,-0.004982924828680999,-0.0019712875521595004,True,False
brier,team_season,4884,1413,-0.003586094474826456,-0.004634918007528489,-0.0025810016520531895,True,False
brier,calendar_month,4884,65,-0.003586094474826456,-0.005118252484270386,-0.0021488525843718627,True,False
brier,conservative_envelope,4884,,-0.003586094474826456,-0.005118252484270386,-0.0019712875521595004,True,False
log_loss,tie_or_match,4884,1612,-0.005101607175100462,-0.00699653395231727,-0.00299635679989541,True,False
log_loss,team_season,4884,1413,-0.005101607175100462,-0.006507352148612957,-0.00364573927654292,True,False
log_loss,calendar_month,4884,65,-0.005101607175100462,-0.007252648271143296,-0.00315156949020517,True,False
log_loss,conservative_envelope,4884,,-0.005101607175100462,-0.007252648271143296,-0.00299635679989541,True,False
