metric,method,folds,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
seed_spearman,season_block_bootstrap,6,0.005034337922424831,-0.0007649259306509263,0.01017536737119514,False,False
seed_pairwise_accuracy,season_block_bootstrap,6,0.0016628987638570198,-0.0006853646347269014,0.0036786468050401346,False,False
