fold,test_season,model,candidate_key,alpha,tau,base_bonus,complexity,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,0,540,0.5453720464435685,0.9291873773815585,0.5796296296296296,0.2885576986625655,0.5996894274085746,0.9688962046951372,452.37534277047575,90.13144428244979,5.820766091346741e-11
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,0,816,0.5820990162800858,0.9793497814254037,0.5392156862745098,0.2634411714008293,0.5938665511725392,0.941744387091889,425.41720032496596,92.11274081986099,4.547473508864641e-13
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,0,804,0.5986361812936337,1.0027942383052981,0.4975124378109453,0.3581000126818689,0.6121731662703591,0.9411635796495942,444.297566363477,88.23087290642228,4.547473508864641e-13
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,0,806,0.5712766549552005,0.9636076553138377,0.5421836228287841,0.3255282404729569,0.6156067335674108,0.9377356944337131,300.7604551710856,92.63575178498871,4.547473508864641e-13
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,0,957,0.5763568081610364,0.9712880551702668,0.54858934169279,0.2460455132506232,0.5876260251007106,0.9363783682617647,378.32188307355364,90.99584454346149,1.1641532182693481e-10
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0_t300_b0,0.0,300.0,0.0,0,961,0.5904375530421382,0.9908895520230486,0.5286160249739854,,,0.9411056891270707,362.9623816724609,91.2531811758921,9.094947017729282e-13
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t100_b0,0.025,100.0,0.0,1,540,0.5453887080095576,0.9292139206492694,0.5777777777777777,0.288988033606589,0.5996410521192435,0.9687474646584658,453.46111647421276,90.12398942845587,9.094947017729282e-13
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t100_b0,0.025,100.0,0.0,1,816,0.5820615461138812,0.9792940229993509,0.5392156862745098,0.26309606980442773,0.5935652654712064,0.9417786423730616,425.6990098947458,92.11300763718043,4.547473508864641e-13
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t100_b0,0.025,100.0,0.0,1,804,0.5985871702021768,1.0027206254808458,0.4975124378109453,0.3569159354372944,0.6117198648615447,0.9407120061626499,444.8805740007358,88.2073410653531,4.547473508864641e-13
4,2023/24,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t100_b0,0.025,100.0,0.0,1,806,0.5712772431993421,0.9636102336386172,0.543424317617866,0.3256336390269092,0.615766837116272,0.9375830330446349,301.01420181783806,92.63608946329963,4.547473508864641e-13
5,2024/25,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t100_b0,0.025,100.0,0.0,1,957,0.5763158828366487,0.9712300928382978,0.54858934169279,0.24567970596061753,0.587367836648913,0.9363381979029246,379.0214331816642,91.02215415671299,1.1641532182693481e-10
6,2025/26,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t100_b0,0.025,100.0,0.0,1,961,0.5904322497081081,0.9908854992334188,0.5296566077003122,,,0.9408400169811061,363.789141167078,91.23982992475415,5.820766091346741e-11
1,2020/21,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t150_b0,0.025,150.0,0.0,1,540,0.5453827594692855,0.9292061221639922,0.5777777777777777,0.28935754918345596,0.5997364886274846,0.9686897715533328,453.77702622001493,90.12475986303413,9.094947017729282e-13
2,2021/22,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t150_b0,0.025,150.0,0.0,1,816,0.5820487036517724,0.979274659200806,0.5392156862745098,0.2628338662783361,0.5934648369040953,0.9416605517984924,425.91526747144303,92.11387627619575,9.094947017729282e-13
3,2022/23,GOAL_DIFFERENCE_ONLY,goal_difference_only_a0.025_t150_b0,0.025,150.0,0.0,1,804,0.5985760157791562,1.0027030624239819,0.4975124378109453,0.3567671707853594,0.611569230681468,0.9406806995973785,445.1725358161907,88.20021104279046,4.547473508864641e-13
