fold,test_season,model,alpha,tau,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,minimum_start_end_rank_correlation,maximum_abs_rating_change,maximum_abs_match_delta,maximum_total_elo_error,multiclass_ece
1,2020/21,BASE,0.0,300.0,540,0.5453720464435683,0.9291873773815579,0.5796296296296296,0.2885576986625655,0.5996894274085746,0.9688962046951372,452.37534277047575,90.13144428244979,5.820766091346741e-11,0.06927870411369749
1,2020/21,NESTED_EXTENDED,0.25,800.0,540,0.5450808857939455,0.9288514189076111,0.5833333333333334,0.28914325723797424,0.5988227231946441,0.9652182692429042,481.3938806435235,99.06713242298063,5.820766091346741e-11,0.07272970132966666
2,2021/22,BASE,0.0,300.0,816,0.5820990162800853,0.9793497814254043,0.5392156862745098,0.2634411714008293,0.5938665511725392,0.941744387091889,425.41720032496596,92.11274081986099,4.547473508864641e-13,0.029387631424938387
2,2021/22,NESTED_EXTENDED,0.225,650.0,816,0.5813663636360437,0.9782331113092616,0.5367647058823529,0.2604896382925096,0.5927157113229932,0.9374156012973737,436.6897980501776,95.84203764296397,9.094947017729282e-13,0.029529526497231524
3,2022/23,BASE,0.0,300.0,804,0.5986361812936338,1.0027942383052988,0.4975124378109453,0.3581000126818689,0.6121731662703591,0.9411635796495942,444.297566363477,88.23087290642228,4.547473508864641e-13,0.031895113192147655
3,2022/23,NESTED_EXTENDED,0.225,650.0,804,0.5977012444066577,1.001377993101358,0.5012437810945274,0.3559499693036115,0.6116696123105083,0.9381126125613324,466.9079863948457,95.36572996101889,9.094947017729282e-13,0.03383425559612297
4,2023/24,BASE,0.0,300.0,806,0.5712766549552002,0.9636076553138365,0.5421836228287841,0.3255282404729569,0.6156067335674108,0.9377356944337131,300.7604551710856,92.63575178498871,4.547473508864641e-13,0.037258052820621196
4,2023/24,NESTED_EXTENDED,0.0,300.0,806,0.5712766549552002,0.9636076553138365,0.5421836228287841,0.3255282404729569,0.6156067335674108,0.9377356944337131,300.7604551710856,92.63575178498871,4.547473508864641e-13,0.037258052820621196
5,2024/25,BASE,0.0,300.0,957,0.5763568081610373,0.9712880551702671,0.54858934169279,0.2460455132506232,0.5876260251007106,0.9363783682617647,378.32188307355364,90.99584454346149,1.1641532182693481e-10,0.020312924305677778
5,2024/25,NESTED_EXTENDED,0.0,300.0,957,0.5763568081610373,0.9712880551702671,0.54858934169279,0.2460455132506232,0.5876260251007106,0.9363783682617647,378.32188307355364,90.99584454346149,1.1641532182693481e-10,0.020312924305677778
6,2025/26,BASE,0.0,300.0,961,0.5904375530421376,0.9908895520230482,0.5286160249739854,,,0.9411056891270707,362.9623816724609,91.2531811758921,9.094947017729282e-13,0.03666169140152333
6,2025/26,NESTED_EXTENDED,0.0,300.0,961,0.5904375530421376,0.9908895520230482,0.5286160249739854,,,0.9411056891270707,362.9623816724609,91.2531811758921,9.094947017729282e-13,0.03666169140152333
