candidate_key,alpha,tau,matches,brier_1x2,log_loss_1x2,accuracy_1x2,ranking_score,pairwise_accuracy,maximum_abs_match_delta,maximum_abs_rating_change,maximum_total_elo_error,brier_delta_vs_base,log_loss_delta_vs_base,ranking_delta_vs_base,pairwise_delta_vs_base,ranking_evaluable_folds,ranking_no_regression_folds,ranking_practical_no_regression_folds,ranking_both_improved_folds,brier_win_folds,log_loss_win_folds
goal_difference_only_a0_t300_b0,0.0,300.0,4884,0.5794901985875628,0.9757560342960031,0.5370597870597871,0.2948108287889713,0.6013641997235545,92.63575178498871,452.37534277047575,1.1641532182693481e-10,0.0,0.0,0.0,0.0,5,5,5,0,0,0
goal_difference_only_a0.025_t100_b0,0.025,100.0,4884,0.5794687466542736,0.9757258056361524,0.5372645372645373,0.29448802825887216,0.6011718803227895,92.63608946329963,453.46111647421276,1.1641532182693481e-10,-2.145193328917383e-05,-3.0228659850695117e-05,-0.0003228005300991432,-0.00019231940076502863,5,1,5,1,4,4
goal_difference_only_a0.025_t150_b0,0.025,150.0,4884,0.5794605633897877,0.9757137698331354,0.5372645372645373,0.29463892212463694,0.6012070770879895,92.64142962927468,453.77702622001493,1.1641532182693481e-10,-2.963519777510193e-05,-4.226446286770269e-05,-0.00017190666433436474,-0.00015712263556499906,5,2,5,2,4,4
goal_difference_only_a0.025_t200_b0,0.025,200.0,4884,0.5794540208585707,0.975704186675385,0.5372645372645373,0.2947474287806759,0.6012142031655139,92.65903396450088,454.02247064628705,1.1641532182693481e-10,-3.617772899211502e-05,-5.1847620618050705e-05,-6.340000829541115e-05,-0.0001499965580405993,5,2,5,2,4,4
goal_difference_only_a0.025_t250_b0,0.025,250.0,4884,0.5794487848661111,0.9756965365158228,0.5372645372645373,0.2948105544452376,0.6012288300834057,92.69004277069537,454.22482259275307,1.1641532182693481e-10,-4.141372145172184e-05,-5.9497780180328697e-05,-2.7434373367496434e-07,-0.00013536964014881914,5,1,5,1,6,5
goal_difference_only_a0.025_t300_b0,0.025,300.0,4884,0.5794445514742592,0.9756903631137507,0.5374692874692875,0.2948825098009772,0.6012584609571775,92.73122109614529,454.3957374834838,1.1641532182693481e-10,-4.564711330357074e-05,-6.567118225242474e-05,7.168101200588639e-05,-0.00010573876637698376,5,1,5,1,6,6
goal_difference_only_a0.025_t400_b0,0.025,400.0,4884,0.5794382032052587,0.9756811269301572,0.5374692874692875,0.2949306291337991,0.6013068684277908,92.82907493671037,454.6685449291672,1.1641532182693481e-10,-5.1995382304048654e-05,-7.490736584592206e-05,0.00011980034482778068,-5.733129576368512e-05,5,3,5,3,6,6
goal_difference_only_a0.025_t500_b0,0.025,500.0,4884,0.5794337190092625,0.9756746201631276,0.5372645372645373,0.29500900219730675,0.6013282867158994,92.93096508086543,454.8756964664108,5.820766091346741e-11,-5.64795783002392e-05,-8.141413287554577e-05,0.00019817340833544472,-3.5913007655041795e-05,5,3,5,3,6,6
goal_difference_only_a0.025_t650_b0,0.025,650.0,4884,0.5794290576583454,0.975667874063089,0.5372645372645373,0.2949719085622061,0.6013238311152461,93.07211234955213,455.10589590278505,1.1641532182693481e-10,-6.114092921738479e-05,-8.816023291413622e-05,0.00016107977323481792,-4.0368608308360976e-05,5,2,5,2,6,6
goal_difference_only_a0.025_t800_b0,0.025,800.0,4884,0.5794258651986193,0.9756632657066172,0.5372645372645373,0.2950466099094785,0.6013658517470257,93.19282718838006,455.2733672560371,1.1641532182693481e-10,-6.433338894351603e-05,-9.276858938589427e-05,0.0002357811205072058,1.6520234712436022e-06,5,2,5,2,6,6
