fold,train_seasons,test_season,selected_alpha,selected_tau,selected_candidate,train_brier_1x2,train_log_loss_1x2,train_ranking_score,train_pairwise_accuracy
1,2018/19|2019/20,2020/21,0.25,800.0,goal_difference_only_a0.25_t800_b0,0.5801821307662692,0.975718442122665,0.35733275323617136,0.6272820202793448
2,2018/19|2019/20|2020/21,2021/22,0.225,650.0,goal_difference_only_a0.225_t650_b0,0.5692201271828846,0.9609078289805265,0.3406853654323001,0.6158777608450176
3,2018/19|2019/20|2020/21|2021/22,2022/23,0.225,650.0,goal_difference_only_a0.225_t650_b0,0.5726432434234823,0.9657051358472262,0.3224966872478319,0.6108530625334005
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,0.0,300.0,goal_difference_only_a0_t300_b0,0.5788137079621574,0.9744575220710883,0.3063941648778769,0.6070991599671813
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,0.0,300.0,goal_difference_only_a0_t300_b0,0.5775823331314897,0.9726594906262641,0.31710751236145845,0.6082373093715475
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,0.0,300.0,goal_difference_only_a0_t300_b0,0.5773642949465617,0.9724154929071007,0.3187105889643369,0.6093376741753161
