model,alpha,tau,matches,brier_1x2,log_loss_1x2,accuracy_1x2,multiclass_ece,maximum_goal_multiplier,p99_goal_multiplier,maximum_abs_power_delta,brier_delta_vs_base,log_loss_delta_vs_base
BASE,0.0,300.0,4884,0.5794901985875627,0.9757560342960031,0.5370597870597871,0.01809172831730752,1.0,1.0,92.63575178498871,0.0,0.0
PRE_SPECIFIED,0.1,300.0,4884,0.5793164208283499,0.9755061844743739,0.5374692874692875,0.017549667370771894,1.1383474148252177,1.1087717471784426,93.01762902961498,-0.00017377775921278982,-0.0002498498216292333
PRIOR_GRID_BEST,0.2,400.0,4884,0.5791239654868559,0.9752291230122391,0.538083538083538,0.01776530040268326,1.276743810738664,1.2302219527635032,94.18233699876205,-0.00036623310070682535,-0.0005269112837640311
EXTENDED_BEST,0.125,800.0,4884,0.5791943365197846,0.9753298241799566,0.5372645372645373,0.01781109253495018,1.1729649104444024,1.1574809673390667,95.42112880194554,-0.00029586206777809654,-0.0004262101160464882
