fold,train_seasons,test_season,selected_weight,train_brier_1x2,test_matches,test_brier_1x2,baseline_brier_1x2,test_brier_delta,test_log_loss_delta
1,2018/19|2019/20,2020/21,0.0,0.5810942283353279,540,0.5294691330139945,0.5296327831930847,-0.0001636501790902578,-0.0001815525626166492
2,2018/19|2019/20|2020/21,2021/22,0.0,0.5671275191802577,816,0.5761724183011777,0.5762709483211055,-9.853001992776722e-05,-0.0001561418556388361
3,2018/19|2019/20|2020/21|2021/22,2022/23,0.0,0.569752212524024,804,0.5922854225439451,0.5922543302028854,3.109234105969083e-05,2.1528295133022013e-05
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,0.0,0.5747623620970375,806,0.5641842461881734,0.5642390493784644,-5.480319029094183e-05,-2.3754558776123424e-05
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,0.0,0.5728342839824865,957,0.5691311733073474,0.5692229584595572,-9.17851522097557e-05,-0.0001246749580749995
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,0.25,0.5721393795872534,961,0.5847348863309157,0.5849804940716918,-0.00024560774077608816,-0.0004323449065896101
