candidate_model,baseline_model,competition,metric,method,matches,clusters,mean_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,brier_1x2,conservative_envelope,2073,,-0.00047688580818370445,-0.0015080517792976534,0.0003740789825453835,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,log_loss_1x2,tie_or_match,2073,792,-0.0007319592170550225,-0.0017793238235077015,0.0003262458721034449,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,log_loss_1x2,team_season,2073,864,-0.0007319592170550225,-0.0016203082465419754,0.00012790288816007063,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,log_loss_1x2,calendar_month,2073,48,-0.0007319592170550225,-0.0022348258774658016,0.000482506610768741,False,False
CURRENT_PRODUCTION,REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,log_loss_1x2,conservative_envelope,2073,,-0.0007319592170550225,-0.0022348258774658016,0.000482506610768741,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,ALL,brier_1x2,tie_or_match,4884,1612,0.00013188370870298612,-0.00018918095476152874,0.00038854289425311857,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,ALL,brier_1x2,team_season,4884,1413,0.00013188370870298612,-6.0864661118315046e-05,0.0003193948612035835,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,ALL,brier_1x2,calendar_month,4884,65,0.00013188370870298612,-0.00012192596842806141,0.00040087877808238435,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,ALL,brier_1x2,conservative_envelope,4884,,0.00013188370870298612,-0.00018918095476152874,0.00040087877808238435,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,ALL,log_loss_1x2,tie_or_match,4884,1612,0.0001857978818307023,-0.00024406559518534073,0.0005354877420919212,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,ALL,log_loss_1x2,team_season,4884,1413,0.0001857978818307023,-7.561580962053938e-05,0.00044073987776747806,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,ALL,log_loss_1x2,calendar_month,4884,65,0.0001857978818307023,-0.00016864100438829978,0.0005530653799561149,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,ALL,log_loss_1x2,conservative_envelope,4884,,0.0001857978818307023,-0.00024406559518534073,0.0005530653799561149,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UCL,brier_1x2,tie_or_match,1384,390,-7.923931417057136e-05,-0.0004317487731197861,0.0002407801597043817,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UCL,brier_1x2,team_season,1384,478,-7.923931417057136e-05,-0.00034058198278271053,0.0001841104272701595,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UCL,brier_1x2,calendar_month,1384,65,-7.923931417057136e-05,-0.00046295213991512884,0.00028888013890477894,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UCL,brier_1x2,conservative_envelope,1384,,-7.923931417057136e-05,-0.00046295213991512884,0.00028888013890477894,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UCL,log_loss_1x2,tie_or_match,1384,390,-0.00011325803548285505,-0.0005988124649839613,0.0003287302925073309,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UCL,log_loss_1x2,team_season,1384,478,-0.00011325803548285505,-0.00047013378675644777,0.00025488289855013036,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UCL,log_loss_1x2,calendar_month,1384,65,-0.00011325803548285505,-0.0006556276367213044,0.00040557958649045835,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UCL,log_loss_1x2,conservative_envelope,1384,,-0.00011325803548285505,-0.0006556276367213044,0.00040557958649045835,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UEL,brier_1x2,tie_or_match,1427,441,0.00031761691840151207,-0.0003426773616574585,0.0008711045647376664,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UEL,brier_1x2,team_season,1427,538,0.00031761691840151207,-6.411712833515291e-05,0.0007184636751706377,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UEL,brier_1x2,calendar_month,1427,57,0.00031761691840151207,-0.0002493702537492508,0.0009166636194017159,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UEL,brier_1x2,conservative_envelope,1427,,0.00031761691840151207,-0.0003426773616574585,0.0009166636194017159,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UEL,log_loss_1x2,tie_or_match,1427,441,0.00046318554401314244,-0.00044461397030199674,0.0012261009256198223,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UEL,log_loss_1x2,team_season,1427,538,0.00046318554401314244,-4.605411864899089e-05,0.000996519238516759,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UEL,log_loss_1x2,calendar_month,1427,57,0.00046318554401314244,-0.0003155093721458423,0.0013012099987347388,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UEL,log_loss_1x2,conservative_envelope,1427,,0.00046318554401314244,-0.00044461397030199674,0.0013012099987347388,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UECL,brier_1x2,tie_or_match,2073,792,0.00014498210398383856,-0.00035805879985838403,0.000626134953977779,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UECL,brier_1x2,team_season,2073,864,0.00014498210398383856,-0.00018354567996001095,0.0004806471384451441,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UECL,brier_1x2,calendar_month,2073,48,0.00014498210398383856,-0.0002538400199605868,0.0006060711237147438,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UECL,brier_1x2,conservative_envelope,2073,,0.00014498210398383856,-0.00035805879985838403,0.000626134953977779,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UECL,log_loss_1x2,tie_or_match,2073,792,0.00019451047017012406,-0.00048696002248897405,0.0008381756906250553,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UECL,log_loss_1x2,team_season,2073,864,0.00019451047017012406,-0.0002515830588779222,0.0006423832816007826,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UECL,log_loss_1x2,calendar_month,2073,48,0.00019451047017012406,-0.0003699467120309845,0.0008337949502385973,False,False
ABLATION_NO_DOMESTIC_SURPRISE,CURRENT_PRODUCTION,UECL,log_loss_1x2,conservative_envelope,2073,,0.00019451047017012406,-0.00048696002248897405,0.0008381756906250553,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,ALL,brier_1x2,tie_or_match,4884,1612,6.127398857220231e-05,-0.00011418272071148683,0.00023400519464545936,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,ALL,brier_1x2,team_season,4884,1413,6.127398857220231e-05,-6.791415430252265e-05,0.00018676094361242017,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,ALL,brier_1x2,calendar_month,4884,65,6.127398857220231e-05,-0.0001264264258010153,0.00022648511222022206,False,False
ABLATION_NO_GOAL_MARGIN,CURRENT_PRODUCTION,ALL,brier_1x2,conservative_envelope,4884,,6.127398857220231e-05,-0.0001264264258010153,0.00023400519464545936,False,False
