exposure_band,team_seasons,changed_team_seasons,mean_effective_exposure,mean_initial_delta,mean_abs_initial_delta,median_abs_initial_delta,maximum_abs_initial_delta
0,230,68,0.0,7.392861215347441,7.89746787994402,0.0,30.000000000000114
"(0,0.25]",187,120,0.17395365418894826,12.239987252963404,13.924118630613146,17.862169800380002,28.59999999999991
"(0.25,0.50]",308,231,0.3794090909090909,8.512979425322136,9.774551180586652,9.854661525827964,22.45999999999981
"(0.50,0.75]",371,309,0.6306361185983828,3.506620483801311,5.179200718719196,4.428630392352034,14.879999999999654
"(0.75,1.00]",791,684,0.8381584492203962,0.2365939369726165,1.7207035017960957,1.2631566165118784,6.919999999999959
