model,matches,brier_1x2,log_loss_1x2,accuracy_1x2,same_season_spearman,same_season_pairwise_accuracy,xg_applied_matches,total_progression_bonus,maximum_abs_match_delta,delta_vs_reference_brier_1x2,delta_vs_reference_log_loss_1x2,delta_vs_reference_accuracy_1x2,delta_vs_reference_same_season_spearman,delta_vs_reference_same_season_pairwise_accuracy
CURRENT_PRODUCTION,4884,0.5727402974253718,0.9659715769076158,0.5503685503685504,0.6720789702692683,0.7535028783989608,600,2892.0,110.92608907030998,-0.0009584172736336605,-0.0013978335205881987,0.0030712530712531105,0.00402018574207097,0.0014788132609305782
REFERENCE_CORE_NO_ACTIVE_EXTRAS,4884,0.5736987146990055,0.967369410428204,0.5472972972972973,0.6680587845271974,0.7520240651380302,0,0.0,94.81048196028352,0.0,0.0,0.0,0.0,0.0
ABLATION_NO_DOMESTIC_SURPRISE,4884,0.5732295036733491,0.9666813962681872,0.5489352989352989,0.6716322075502517,0.7536077054603484,600,2892.0,111.8771739128616,-0.0004692110256563353,-0.0006880141600168477,0.0016380016380016515,0.0035734230230543007,0.0015836403223181694
ABLATION_NO_GOAL_MARGIN,4884,0.5729321888547186,0.9662490687423573,0.5485257985257985,0.6687603855333778,0.7523039948288767,600,2892.0,109.05001875426578,-0.000766525844286825,-0.0011203416858467374,0.0012285012285012664,0.0007016010061804412,0.0002799296908464477
ABLATION_NO_XG,4884,0.5729839297228061,0.9663292553424476,0.5489352989352989,0.6716422837010395,0.75333480790859,0,2892.0,95.31723443142909,-0.0007147849761993674,-0.001040155085756389,0.0016380016380016515,0.003583499173842153,0.0013107427705597585
ABLATION_NO_PROGRESSION,4884,0.5727501139115654,0.9659874106800622,0.5501638001638002,0.6720492681782666,0.7535030067484614,600,0.0,110.92608907030998,-0.0009486007874400793,-0.0013819997481417934,0.002866502866502918,0.003990483651069243,0.0014789416104311615
