model,competition,matches,brier_1x2,log_loss_1x2,accuracy_1x2,same_season_spearman,same_season_pairwise_accuracy,delta_vs_reference_brier_1x2,delta_vs_reference_log_loss_1x2,delta_vs_reference_accuracy_1x2,delta_vs_reference_same_season_spearman,delta_vs_reference_same_season_pairwise_accuracy
CURRENT_PRODUCTION,UCL,1384,0.5500581195877641,0.9323333263773022,0.5758670520231214,0.5632486256403838,0.7066064997077717,-0.002542049424473003,-0.004803637873167399,0.0028901734104046506,-0.0045576765641451855,-0.002671852412157283
CURRENT_PRODUCTION,UECL,2073,0.5771826640009489,0.9722693856325423,0.5383502170767004,0.7413574657100434,0.7799908851499613,-0.0004768858081837246,-0.0007319592170550449,0.0053063193439458756,0.004659144361832346,0.0018383318663630632
CURRENT_PRODUCTION,UEL,1427,0.5666283695656877,0.9562063092707923,0.5732305536089699,0.6965777425040717,0.743273477100962,-0.002454851880516973,-0.004253344643281642,0.005606166783461819,0.002753372944771515,0.0020606787426681317
REFERENCE_CORE_NO_ACTIVE_EXTRAS,UCL,1384,0.5526001690122371,0.9371369642504696,0.5729768786127167,0.567806302204529,0.709278352119929,0.0,0.0,0.0,0.0,0.0
REFERENCE_CORE_NO_ACTIVE_EXTRAS,UECL,2073,0.5776595498091326,0.9730013448495973,0.5330438977327545,0.736698321348211,0.7781525532835982,0.0,0.0,0.0,0.0,0.0
REFERENCE_CORE_NO_ACTIVE_EXTRAS,UEL,1427,0.5690832214462047,0.960459653914074,0.5676243868255081,0.6938243695593002,0.7412127983582939,0.0,0.0,0.0,0.0,0.0
ABLATION_NO_DOMESTIC_SURPRISE,UCL,1384,0.5499788802735933,0.9322200683418191,0.5722543352601156,0.5634533925419493,0.7066596739309235,-0.0026212887386437567,-0.004916895908650409,-0.0007225433526011349,-0.004352909662579729,-0.002618678189005408
ABLATION_NO_DOMESTIC_SURPRISE,UECL,2073,0.5773276461049327,0.9724638961027126,0.5354558610709117,0.7430361237611585,0.7809172691082182,-0.00033190370419988735,-0.0005374487468847722,0.002411963338157186,0.0063378024129474575,0.002764715824620012
ABLATION_NO_DOMESTIC_SURPRISE,UEL,1427,0.5669459864840892,0.9566694948148055,0.5704274702172389,0.6963905430663655,0.7435178984219933,-0.0021372349621154862,-0.0037901590992684975,0.002803083391730854,0.002566173507065339,0.002305100063699439
ABLATION_NO_GOAL_MARGIN,UCL,1384,0.5504456223265826,0.9328787276823876,0.5744219653179191,0.5623000064802826,0.7068746432435905,-0.0021545466856545126,-0.004258236568081997,0.0014450867052023808,-0.005506295724246435,-0.0024037088763384507
ABLATION_NO_GOAL_MARGIN,UECL,2073,0.5771682596386181,0.9722483841465962,0.5383502170767004,0.7387879233992982,0.7787921054073335,-0.0004912901705145245,-0.0007529607030011265,0.0053063193439458756,0.0020896020510872138,0.000639552123735232
ABLATION_NO_GOAL_MARGIN,UEL,1427,0.5664831828892848,0.9559781377189989,0.5711282410651717,0.6944059118888203,0.7420313928276324,-0.002600038556919926,-0.004481516195075086,0.003503854239663595,0.0005815423295201239,0.0008185944693385183
ABLATION_NO_XG,UCL,1384,0.5512910134621712,0.9341515251724022,0.5765895953757225,0.5663336274471863,0.7085826263125391,-0.0013091555500658325,-0.0029854390780673645,0.0036127167630057855,-0.0014726747573426957,-0.0006957258073898576
ABLATION_NO_XG,UECL,2073,0.5773499120164193,0.9724853070244461,0.5373854317414375,0.7380326849072684,0.7784250953719628,-0.00030963779271331315,-0.0005160378251511943,0.004341534008682979,0.001334363559057361,0.00027254208836458016
ABLATION_NO_XG,UEL,1427,0.567495616488089,0.9574507277026231,0.5704274702172389,0.6960603494992512,0.7417870316413262,-0.0015876049581157181,-0.0030089262114508797,0.002803083391730854,0.0022359799399510605,0.0005742332830322994
ABLATION_NO_PROGRESSION,UCL,1384,0.5500581195877641,0.9323333263773022,0.5758670520231214,0.5645331128283698,0.7071410196152829,-0.002542049424473003,-0.004803637873167399,0.0028901734104046506,-0.003273189376159169,-0.0021373325046460945
ABLATION_NO_PROGRESSION,UECL,2073,0.5771826640009489,0.9722693856325423,0.5383502170767004,0.7413315129791737,0.7799772356610869,-0.0004768858081837246,-0.0007319592170550449,0.0053063193439458756,0.004633191630962652,0.0018246823774886733
ABLATION_NO_PROGRESSION,UEL,1427,0.5666273644499823,0.9562036908833682,0.5732305536089699,0.6963811928502436,0.7430622260513676,-0.0024558569962224164,-0.004255963030705745,0.005606166783461819,0.002556823290943422,0.0018494276930737241
ABLATION_NO_SINGLE_MATCH_DRAW,UCL,1384,0.5509812593155069,0.9347644630369238,0.5758670520231214,0.5632486256403838,0.7066064997077717,-0.0016189096967301753,-0.002372501213545708,0.0028901734104046506,-0.0045576765641451855,-0.002671852412157283
ABLATION_NO_SINGLE_MATCH_DRAW,UECL,2073,0.5773254676709194,0.9725671908609693,0.5383502170767004,0.7413574657100434,0.7799908851499613,-0.00033408213821317645,-0.00043415398862800547,0.0053063193439458756,0.004659144361832346,0.0018383318663630632
ABLATION_NO_SINGLE_MATCH_DRAW,UEL,1427,0.5679700761669334,0.9588970281288821,0.5732305536089699,0.6965777425040717,0.743273477100962,-0.0011131452792713104,-0.0015626257851918401,0.005606166783461819,0.002753372944771515,0.0020606787426681317
ABLATION_NO_CUP_DOUBLE_BONUS,UCL,1384,0.5501565597013409,0.9324881676528118,0.5722543352601156,0.5627276954080219,0.7061802972398848,-0.0024436093108961554,-0.004648796597657712,-0.0007225433526011349,-0.005078606796507068,-0.00309805488004411
ABLATION_NO_CUP_DOUBLE_BONUS,UECL,2073,0.5773374613314649,0.9724478748145018,0.5373854317414375,0.7417189546529962,0.7802225170652695,-0.00032208847766768134,-0.0005534700350955379,0.004341534008682979,0.005020633304785194,0.0020699637816712357
ABLATION_NO_CUP_DOUBLE_BONUS,UEL,1427,0.5663833289184768,0.9559368549364985,0.5739313244569026,0.6981168728531538,0.7443948120502466,-0.002699892527727954,-0.00452279897757546,0.00630693763139456,0.004292503293853667,0.003182013691952701
