competition,phase,team_match_observations,mean_live_rating,p25_live_rating,median_live_rating,p75_live_rating
UCL,KNOCKOUT,516,894.0623832233663,854.949663580843,896.0998742517586,932.4922445478923
UEL,KNOCKOUT,796,805.3905027494653,772.2749619876124,802.2123670393622,840.7748550402385
UECL,KNOCKOUT,450,748.1980475619646,713.7296096633763,750.176302057662,777.7362131407442
UCL,MAIN_STAGE,1728,829.602898118499,775.2630720889995,828.338084567314,882.0383473270965
UEL,MAIN_STAGE,2016,747.3314699295278,705.6329357709511,742.8813472235345,787.2879722068313
UECL,MAIN_STAGE,1008,701.0311420228327,656.8043984339101,695.9050332913818,743.8381938378251
UCL,QUALIFYING,1376,691.1423822473208,630.3844606328357,691.990223790317,746.3214934629918
UEL,QUALIFYING,2102,655.5167009460538,605.9697429855686,648.914439192927,698.025350560243
UECL,QUALIFYING,2688,648.5507230796038,610.0321576641184,642.1856543026486,678.7887406841738
