competition,matches,mean_brier_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,4884,-0.0025418812771341916,-0.003928100872443006,-0.0012365579750231346,True,False
UCL,1384,-0.0028622041736285765,-0.005861222535772075,0.0002911056695717762,False,False
UECL,2073,-0.0011549312310269537,-0.0030796372655796465,0.0008300496213029378,False,False
UEL,1427,-0.00424603023076564,-0.00655247295705836,-0.001978853998725107,True,False
