competition,matches,brier_difference,log_loss_difference
UCL,1384,7.977612278373125e-05,0.0001731064568807339
UECL,2073,3.606037825590325e-05,6.662033999615957e-05
UEL,1427,0.00010860417460215044,0.00025287824487141286
