competition,matches,mean_brier_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,4884,-0.002063492638697777,-0.0027482117202063854,-0.0014109090006447903,True,False
UCL,1384,-0.002941372109829046,-0.0045235083121157324,-0.0013011556587491778,True,False
UECL,2073,-0.0010708069455037867,-0.0019378914050543995,-0.00017162564605714928,True,False
UEL,1427,-0.002654138927377152,-0.00377817917955634,-0.0015269696285162904,True,False
