competition,matches,mean_brier_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,4884,-0.002542760169731431,-0.003926923737035891,-0.0012349425595970238,True,False
UCL,1384,-0.002862922610926839,-0.0058468912391167254,0.00024785287179774,False,False
UECL,2073,-0.0011527840528886804,-0.0030765339410440255,0.0008329818036608299,False,False
UEL,1427,-0.004251460710446622,-0.006542593560436707,-0.0019948959541702116,True,False
