competition,matches,brier_difference,log_loss_difference
UCL,1384,-0.002862204173628591,-0.007316954857159774
UECL,2073,-0.0011549312310269733,-0.0028302614342746724
UEL,1427,-0.004246030230765613,-0.010126455334192097
