competition,matches,brier_difference,log_loss_difference
UCL,1384,-0.0028629226109268546,-0.007321499398790676
UECL,2073,-0.0011527840528887112,-0.0028258785919494933
UEL,1427,-0.004251460710446631,-0.010137897497171422
