competition,matches,brier_difference,log_loss_difference
UCL,1384,-0.002941372109829088,-0.007072101359447913
UECL,2073,-0.0010708069455038216,-0.002500569288603094
UEL,1427,-0.0026541389273771476,-0.006279198824401089
