competition,matches,brier_difference,log_loss_difference
UCL,1384,-0.002941980296412322,-0.007490061314040508
UECL,2073,-0.0011909916092828765,-0.002896881774270832
UEL,1427,-0.004354634405367763,-0.01037933357906351
