power_carry,reserve_decay,ucl_trophy_base,distance_from_reference,matches,brier,log_loss,carried_clubs,trophy_bonus_total,mean_reserve,max_reserve,mean_rating_change,rating_change_std,max_abs_rating_change,start_end_rank_correlation
0.85,0.0,0.0,1.85,6340,0.16128498302760905,0.615928988354748,1146,0.0,0.0,0.0,-6.749006861244476,34.39522185450079,136.43566775842885,0.9080053134429192
0.85,0.25,20.0,1.1,6340,0.16129301218899073,0.6159451869899862,1146,309.0,0.2074039088146244,25.0,-6.54377834494013,34.80140646043376,136.39063836806395,0.9079724467856864
0.85,0.25,30.0,0.85,6340,0.16129777130616127,0.6159552826474282,1146,463.5,0.31110586322193656,37.5,-6.441145500490355,35.03206793857179,143.44447345999902,0.9080080523310219
0.85,0.25,40.0,0.6,6340,0.16130301928929677,0.61596670508917,1146,618.0,0.4148078176292488,50.0,-6.338500200296964,35.28064429181423,153.5172470586433,0.9079806634499948
0.85,0.5,20.0,0.85,6340,0.16130800168644763,0.6159846070510514,1146,309.0,0.2756501804417252,30.0,-6.477260740798318,34.840881644319026,136.3143743496364,0.9080619171303755
0.85,0.25,50.0,0.85,6340,0.16130875040272258,0.615979451170075,1146,772.5,0.5185097720365609,62.5,-6.235842399581651,35.54676427702189,163.59282251942022,0.9080345282493483
0.85,0.25,60.0,1.1,6340,0.16131495882094443,0.6159935176930679,1146,927.0,0.6222117264438731,75.0,-6.133172056694412,35.83004139536868,173.67117874726682,0.9079286245760428
0.85,0.5,30.0,0.6,6340,0.16132234204088314,0.6160203170521429,1146,463.5,0.41347527066258777,45.0,-6.3413120628685355,35.09465307234999,145.84561246798899,0.9081258245194391
0.9,0.0,0.0,1.9,6340,0.16132245982562815,0.6159960854577831,1146,0.0,0.0,0.0,-7.580690752553757,35.159681935157025,141.21828099036156,0.9025047131699434
0.9,0.25,20.0,1.15,6340,0.1613312050730505,0.6160143953605172,1146,309.0,0.2074039088146244,25.0,-7.375770079229072,35.56057798482692,141.17238415805173,0.9024106780117498
0.85,0.75,20.0,1.1,6340,0.16133337628193056,0.6160609411663808,1146,309.0,0.39076112057428947,35.0,-6.362656606260915,34.90380053956392,138.405306543322,0.9084563170171681
0.75,0.0,0.0,1.75,6340,0.16133415667657036,0.6160940407343389,1146,0.0,0.0,0.0,-5.323353182811513,33.125865032624745,128.1078136171359,0.9165944665330698
0.9,0.25,30.0,0.9,6340,0.16133632002494608,0.6160255741692204,1146,463.5,0.31110586322193656,37.5,-7.273288057071362,35.78809098068261,146.05569290640096,0.9023549872869944
0.85,0.5,40.0,0.35,6340,0.161338508902053,0.61606127285215,1146,618.0,0.5513003608834504,60.0,-6.20531267498108,35.36853048425061,156.73697378236898,0.9082134689387265
0.75,0.25,20.0,1.0,6340,0.1613403490830562,0.6161051730386303,1146,309.0,0.2074039088146244,25.0,-5.117609212880128,33.54076467433838,128.32522538486637,0.916611812824387
0.9,0.25,40.0,0.65,6340,0.16134192224507832,0.6160380977350829,1146,618.0,0.4148078176292488,50.0,-7.170791504221846,36.03320631446318,156.10060983963263,0.902349509510789
0.75,0.25,30.0,0.75,6340,0.16134419871902003,0.6161126983082226,1146,463.5,0.31110586322193656,37.5,-5.014723718555445,33.776687995127936,138.44855292814168,0.9166063350481816
0.9,0.5,20.0,0.9,6340,0.16134731084357876,0.6160576267204395,1146,309.0,0.2756501804417252,30.0,-7.309504761542089,35.600360811666725,141.094317459698,0.9023750724664144
0.9,0.25,50.0,0.9,6340,0.16134800590551499,0.6160519626251613,1146,772.5,0.5185097720365609,62.5,-7.068280369949519,36.295571246871276,166.1485476779401,0.9022901669352299
0.75,0.25,40.0,0.5,6340,0.16134854340303872,0.6161215261389186,1146,618.0,0.4148078176292488,50.0,-4.911829167489035,34.03108480238812,148.57428787415688,0.9165552091369306
0.75,0.5,20.0,0.75,6340,0.16135257403827796,0.6161361357747406,1146,309.0,0.2756501804417252,30.0,-5.0506783913214415,33.579176934013375,129.99129598237164,0.9167378016771124
0.75,0.25,50.0,0.75,6340,0.16135337758313198,0.6161316538449914,1146,772.5,0.5185097720365609,62.5,-4.808925524617329,34.3035491966506,158.70241572661848,0.9165552091369306
0.9,0.25,60.0,1.15,6340,0.1613545650901413,0.6160671653478271,1146,927.0,0.6222117264438731,75.0,-6.965754607183632,36.57481820371751,176.19948194645463,0.9022490836136889
0.85,0.5,50.0,0.6,6340,0.1613564552544552,0.6161074579392547,1146,772.5,0.689125451104313,75.0,-6.069262414583914,35.66209505306553,167.64037440147263,0.9082910707683037
0.75,0.25,60.0,1.0,6340,0.16135869561346589,0.6161430787009476,1146,927.0,0.6222117264438731,75.0,-4.706012757144192,34.5936593041919,168.83292113684251,0.916541514696417
0.9,0.5,30.0,0.65,6340,0.16136253053911145,0.616096328857864,1146,463.5,0.41347527066258777,45.0,-7.173823774001075,35.85108518491636,148.3994648120431,0.9024608909602997
0.85,0.75,30.0,0.85,6340,0.16136461201401847,0.6161479298821791,1146,463.5,0.5861416808614343,52.5,-6.169300878434836,35.196836007608816,151.04259695395945,0.9084234503599355
0.75,0.5,30.0,0.5,6340,0.16136471596555008,0.6161651116801503,1146,463.5,0.41347527066258777,45.0,-4.914285625374947,33.83779190425055,140.95993978539354,0.9167295850128042
0.75,0.75,20.0,1.0,6340,0.1613731961988038,0.616197037934145,1146,309.0,0.39076112057428947,35.0,-4.935928835205635,33.64001134347674,133.44306651721286,0.9167387146398133
0.9,0.75,20.0,1.15,6340,0.16137475734507067,0.6161415067154421,1146,309.0,0.39076112057428947,35.0,-7.195005106332044,35.66413422256876,141.00065089354598,0.9024828020651215
0.85,1.0,20.0,1.35,6340,0.1613757550826388,0.6162067123547209,1146,309.0,0.5988171976007182,40.0,-6.153189342120018,35.023086185318164,144.38501382540835,0.9085795669817909
0.85,0.5,60.0,0.85,6340,0.16137613309071985,0.6161588553317616,1146,917.0,0.821653931155684,80.0,-5.938457778511486,35.954661863580604,178.55586134444843,0.90829746150721
0.75,0.5,40.0,0.25,6340,0.1613787536851855,0.6161993550758195,1146,618.0,0.5513003608834504,60.0,-4.777855718638342,34.11713758833155,151.93930094230814,0.9166839368777588
0.9,0.5,40.0,0.4,6340,0.1613795514544068,0.6161402950914038,1146,618.0,0.5513003608834504,60.0,-7.03808378105968,36.12157292736126,159.24475959865504,0.9023796372799189
0.75,0.5,50.0,0.5,6340,0.1613946408711265,0.6162388520118853,1146,772.5,0.689125451104313,75.0,-4.641388547037916,34.41675324643987,162.92944565168887,0.9166757202134507
0.9,0.5,50.0,0.65,6340,0.1613983261087663,0.6161895071153332,1146,772.5,0.689125451104313,75.0,-6.902284594675953,36.411427484105396,170.10276351150037,0.9023148169281544
0.85,0.75,40.0,0.6,6340,0.1614003058286744,0.6162489206986494,1146,618.0,0.7815222411485789,70.0,-5.975825047604063,35.51512244089378,163.71850286113568,0.9086179114152291
0.75,0.75,30.0,0.75,6340,0.16140031537539884,0.616270328170501,1146,463.5,0.5861416808614343,52.5,-4.742083867971266,33.93723141192382,146.17402035475493,0.9167989701780732
0.75,1.0,20.0,1.25,6340,0.16140678342689813,0.6163132530661238,1146,309.0,0.5988171976007182,40.0,-4.726761132140672,33.75582955504149,139.32186123500833,0.9169240460680977
0.9,0.75,30.0,0.9,6340,0.16140771567457593,0.6162349788450862,1146,463.5,0.5861416808614343,52.5,-7.001952331692338,35.954367145994155,153.58956835510003,0.9026078779551461
0.75,0.5,60.0,0.75,6340,0.16141233006824368,0.6162835881858595,1146,917.0,0.821653931155684,80.0,-4.510180634070855,34.715596036408485,173.93043097979194,0.9166455924443206
0.9,0.5,60.0,0.9,6340,0.16141880609726844,0.6162439460880766,1146,917.0,0.821653931155684,80.0,-6.771722693396287,36.70020405467366,180.97351790356947,0.9023066002638462
0.9,1.0,20.0,1.4,6340,0.16142130117625192,0.616302779064663,1146,309.0,0.5988171976007182,40.0,-6.985392773225134,35.78511346541674,147.03686535606357,0.9028872445416242
0.75,0.75,40.0,0.5,6340,0.16143226166194474,0.616358141544752,1146,618.0,0.7815222411485789,70.0,-4.548150766511059,34.26056036686626,158.940979662646,0.9167779720359525
0.85,1.0,30.0,1.1,6340,0.16143896681177106,0.616403404473841,1146,463.5,0.8982257964010771,60.0,-5.8549508859892905,35.397000575464645,160.12773615927404,0.9088452391277555
0.85,0.75,50.0,0.85,6340,0.16144027398315516,0.6163639078959647,1146,765.0,0.9729303438086051,80.0,-5.786202180367974,35.84337258468675,176.43383649307066,0.9087192502750301
0.9,0.75,40.0,0.65,6340,0.16144497954845344,0.616342282440058,1146,618.0,0.7815222411485789,70.0,-6.808759803354987,36.26939810723404,166.21846958711944,0.9026434835004815
0.75,1.0,30.0,1.0,6340,0.16146346254674232,0.6164854673955882,1146,463.5,0.8982257964010771,60.0,-4.428222760837729,34.133682889801165,155.1032445929293,0.9168683553433424
0.75,0.75,50.0,0.75,6340,0.16146884674475237,0.6164604738823986,1146,765.0,0.9729303438086051,80.0,-4.358102598583409,34.59441923679209,171.74473428029182,0.9169121775529859
0.85,0.75,60.0,1.1,6340,0.1614720159285443,0.6164494301017258,1146,886.3125,1.139765040215515,80.0,-5.621276362080696,36.12245536645237,175.3904094053139,0.9088105465451208
0.9,0.75,50.0,0.9,6340,0.16148636623722493,0.6164634089326465,1146,765.0,0.9729303438086051,80.0,-6.619400566593201,36.59413194201515,178.88818446346886,0.9027073908895452
0.9,1.0,30.0,1.15,6340,0.161487424042929,0.6165119430972548,1146,463.5,0.8982257964010771,60.0,-6.6873599904149685,36.15635140578189,162.76171250228708,0.9029383704528752
0.75,0.75,60.0,1.0,6340,0.16149802760660134,0.6165380495197618,1146,886.3125,1.139765040215515,80.0,-4.192696838774214,34.87960351845943,170.79511357402134,0.9169943441960678
0.85,1.0,40.0,0.85,6340,0.16151319534925956,0.6166389795673175,1146,618.0,1.1976343952014363,80.0,-5.5565023883121825,35.810417951721334,175.9906883967235,0.9090524816608616
0.9,0.75,60.0,1.15,6340,0.16151916093714028,0.6165526011186826,1146,886.3125,1.139765040215515,80.0,-6.454769773159347,36.86957474384713,177.79616295910978,0.9027448223602824
0.75,1.0,40.0,0.75,6340,0.16153275871011316,0.616699702645364,1146,618.0,1.1976343952014363,80.0,-4.129532386665129,34.55283941739067,170.99934169123594,0.9171997608037724
0.9,1.0,40.0,0.9,6340,0.16156384731879753,0.6167586610536205,1146,618.0,1.1976343952014363,80.0,-6.389080986928599,36.566186990951365,178.60960094239977,0.9030744018953104
