win_bonus_base,ucl_prestige,uel_prestige,uecl_prestige,distance_from_reference,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,max_abs_prestige_delta,start_end_rank_correlation
0.0,1.0,0.65,0.45,0.0,6340,0.16365281343435142,0.6218366241900113,-6.02676093720453e-16,29.03815628863108,127.91296938412597,25.570420048846223,0.0,0.9375849061905133
2.0,1.0,0.75,0.35,0.2,6340,0.1636976887995345,0.6219464293750655,-3.651497380290735e-16,30.058754934252956,132.16938987692902,26.998703879469492,1.7333537413386342,0.935122655933541
2.0,1.0,0.7,0.35,0.14999999999999997,6340,0.16369811436197518,0.6219468058177997,-9.691223154238008e-16,30.02730450926187,131.89844024865,26.902892920690014,1.7333537413386342,0.9351825966016452
2.0,1.0,0.65,0.35,0.10000000000000003,6340,0.16369857854955866,0.6219472708855588,-1.2299782474167327e-16,29.995860247852377,131.62700871088043,26.807103763078153,1.7333537413386342,0.9351648017158017
2.0,1.0,0.6,0.35,0.15000000000000008,6340,0.16369908144692014,0.6219478247657626,5.843045490249459e-17,29.964422316900865,131.3550937037213,26.711336469881054,1.7333537413386342,0.9351648017158017
2.0,1.0,0.55,0.35,0.2,6340,0.16369962313884256,0.6219484676463807,-5.427146254997451e-16,29.932990885170817,131.08269366401896,26.61559110449953,1.7333537413386342,0.9352575224367756
2.0,1.0,0.75,0.4,0.14999999999999997,6340,0.1637009118659903,0.6219530094231717,-3.0699306880534044e-16,30.08234216657429,132.16938987692902,26.998703879469492,1.7333537413386342,0.935072080994828
2.0,1.0,0.7,0.4,0.09999999999999992,6340,0.16370133704951212,0.6219533845194908,-4.866232319256975e-16,30.05090678896474,131.89844024865,26.902892920690014,1.7333537413386342,0.9351245290794191
2.0,1.0,0.65,0.4,0.04999999999999999,6340,0.1637018008542352,0.6219538482329232,5.351802628277149e-17,30.01947757912654,131.62700871088043,26.807103763078153,1.7333537413386342,0.9351123536312106
2.0,1.0,0.6,0.4,0.10000000000000003,6340,0.1637023033647902,0.6219544007508796,-6.768179377564608e-17,29.9880547038338,131.3550937037213,26.711336469881054,1.7333537413386342,0.9351123536312106
2.0,1.0,0.55,0.4,0.14999999999999997,6340,0.16370284466595575,0.6219550422613179,-1.2609910741292226e-16,29.956638331746515,131.08269366401896,26.61559110449953,1.7333537413386342,0.9351404508193845
2.0,1.0,0.75,0.45,0.09999999999999998,6340,0.1637041580523928,0.6219596431437768,-4.258799423049152e-16,30.10594711561944,132.16938987692902,26.998703879469492,1.7333537413386342,0.9347021346838716
