parameter,mode,mode_count,folds,mode_share,min,max
selected_win_bonus_base,0.0,6,6,1.0,0.0,0.0
selected_uel_prestige,0.65,6,6,1.0,0.65,0.65
selected_uecl_prestige,0.45,6,6,1.0,0.45,0.45
