competition,matches,mean_brier_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,4884,0.00021095339404636986,-0.0003560205598008818,0.0007973223206891263,False,False
UCL,1384,0.0,0.0,0.0,False,False
UECL,2073,-0.00011842471901380732,-0.0013444230011616777,0.0011138812660216838,False,False
UEL,1427,0.0008940370140421116,-4.897464411420696e-05,0.0018630443249047438,False,False
