ucl_multiplier,uel_multiplier,uecl_multiplier,is_strict,distance_from_neutral,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,start_end_rank_correlation
1.0,0.95,0.65,True,0.4,6340,0.1635221829085168,0.621624885535268,-3.589867083227854e-16,26.17195692381751,123.49077625483528,24.26034665583366,0.9474235521284249
1.0,0.95,0.6,True,0.45000000000000007,6340,0.16352333593885912,0.6216422411554258,-6.595559911677393e-16,25.85312359230974,123.49077625483528,24.26034665583366,0.9474235521284249
1.0,0.95,0.7,True,0.3500000000000001,6340,0.16352754202765168,0.6216230001824684,-7.220842560471142e-16,26.4984826489626,123.49077625483528,24.26034665583366,0.9474235521284249
1.0,0.95,0.55,True,0.5,6340,0.16353125688160625,0.6216757766342081,-7.213154640717029e-16,25.543539145950074,123.49077625483528,24.26034665583366,0.9474235521284249
1.0,0.95,0.75,True,0.30000000000000004,6340,0.16353916417488795,0.6216359142325488,-5.388709452240766e-16,26.831348637943684,123.49077625483528,24.26034665583366,0.9474235521284249
1.0,0.95,0.5,True,0.55,6340,0.1635462071952144,0.6217262411539017,-4.788898210258188e-16,25.244986761789484,123.49077625483528,24.26034665583366,0.9474235521284249
1.0,0.95,0.8,True,0.25,6340,0.16355680761908342,0.6216629944700035,-2.985106337481553e-16,27.1693850987141,123.49077625483528,24.26034665583366,0.9474235521284249
1.0,0.9,0.65,True,0.44999999999999996,6340,0.16356263754713246,0.6217137290896839,-2.3907039843425624e-16,25.658715960338583,118.92140267996047,24.212950686031697,0.9505344725317718
1.0,0.9,0.6,True,0.5,6340,0.16356397010977172,0.6217316039588536,-3.592538674486602e-16,25.33548701499442,118.92140267996047,24.212950686031697,0.9505344725317718
1.0,0.9,0.7,True,0.4,6340,0.16356782551426594,0.6217113512385851,-3.605241804330528e-16,25.989561891435077,118.92140267996047,24.212950686031697,0.9505344725317718
1.0,0.95,0.45,True,0.6000000000000001,6340,0.16356845288089955,0.6217944240963753,-4.79938913392323e-16,24.959497752542447,123.49077625483528,24.26034665583366,0.9474235521284249
1.0,0.9,0.55,True,0.5499999999999999,6340,0.16357207947643637,0.6217656874752429,-1.181181933647185e-16,25.021455135221302,118.92140267996047,24.212950686031697,0.9505344725317718
1.0,0.9,0.75,True,0.35,6340,0.16357928440275699,0.6217237976284059,-3.6028324791733707e-16,26.32665525386104,118.92140267996047,24.212950686031697,0.9505344725317718
1.0,0.95,0.85,True,0.20000000000000007,6340,0.16358023858458362,0.621703644077695,-5.393856634185537e-16,27.511583608132575,123.49077625483528,24.26034665583366,0.9467477986186875
1.0,0.9,0.5,True,0.6,6340,0.16358722763754596,0.6218167309815733,-5.789613665074491e-17,24.718434529190063,118.92140267996047,24.212950686031697,0.9505344725317718
1.0,0.9,0.8,True,0.29999999999999993,6340,0.16359677202081985,0.6217504332562801,-5.89321436723085e-17,26.66881385403483,118.92140267996047,24.212950686031697,0.9494063460037341
1.0,0.95,0.4,True,0.65,6340,0.16359826312005438,0.6218811553538105,-6.021680020788626e-16,24.68937043601755,123.49077625483528,24.26034665583366,0.9474235521284249
1.0,0.9,0.45,True,0.65,6340,0.163609681141415,0.6218855261369166,-2.393310428477994e-16,24.428496357084995,118.92140267996047,24.212950686031697,0.9505344725317718
1.0,0.85,0.65,True,0.5,6340,0.1636127273181248,0.6218245993523015,-4.220362061089689e-16,25.14358562208306,114.19563515695859,24.212950686031697,0.9534001972383033
1.0,0.85,0.6,True,0.55,6340,0.163614258304732,0.6218430365754369,-4.794241951978458e-16,24.815897117923427,114.19563515695859,24.212950686031697,0.9534001972383033
1.0,0.85,0.7,True,0.45000000000000007,6340,0.16361772574422437,0.6218216874502801,-4.204790780211515e-16,25.478811653270853,114.19563515695859,24.212950686031697,0.9534001972383033
1.0,0.85,0.55,True,0.6,6340,0.16362257548950357,0.621877712840544,-3.612994871207956e-16,24.49735022188772,114.19563515695859,24.212950686031697,0.9534001972383033
1.0,0.85,0.75,True,0.4,6340,0.16362900348557516,0.6218336261255654,-4.825123366038765e-16,25.820188048482354,114.19563515695859,24.212950686031697,0.9529632486864751
1.0,0.95,0.35,True,0.7000000000000001,6340,0.16363590870718475,0.6219873053008433,-3.6027016257239633e-16,24.43718407996149,123.49077625483528,24.26034665583366,0.9474235521284249
1.0,0.85,0.5,True,0.65,6340,0.1636379413921534,0.6219293817038489,-1.7806646439993054e-16,24.189790896557746,114.19563515695859,24.212950686031697,0.9534001972383033
1.0,0.9,0.4,True,0.7,6340,0.16363970972400965,0.6219729052179074,-2.4009977890293315e-16,24.153988981520833,118.92140267996047,24.212950686031697,0.9505344725317718
1.0,1.0,1.0,False,0.0,6340,0.16365281343435142,0.6218366241900113,-6.02676093720453e-16,29.03815628863108,127.91296938412597,25.570420048846223,0.9375849061905133
1.0,0.85,0.45,True,0.7000000000000001,6340,0.16366062310236348,0.6219988371531896,-4.819976743296769e-16,23.895331280481383,114.19563515695859,24.212950686031697,0.9534001972383033
1.0,0.8,0.65,True,0.5499999999999999,6340,0.16367280517582156,0.6219583821766829,-1.7910241550121663e-16,24.627409644281755,109.30388516760365,24.212950686031697,0.9569167722871169
1.0,0.8,0.6,True,0.6,6340,0.16367455387383142,0.6219774259134278,-2.388098099409905e-16,24.295206136801404,109.30388516760365,24.212950686031697,0.9569167722871169
1.0,0.9,0.35,True,0.75,6340,0.16367758473180827,0.6220797410770154,-5.867149925876534e-17,23.897553154359912,118.92140267996047,24.212950686031697,0.9505344725317718
1.0,0.8,0.7,True,0.5,6340,0.1636775952833618,0.6219548936475451,-6.639275309031035e-16,24.96706720189821,109.30388516760365,24.212950686031697,0.9557140053043132
