competition,matches,mean_brier_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,4884,-8.34744631949774e-05,-0.00021988485035279049,4.0312414143539866e-05,False,False
UCL,1384,0.0,0.0,0.0,False,False
UECL,2073,-0.00022264988620195741,-0.0005339948696478255,7.620808688752545e-05,False,False
UEL,1427,3.7746276000271954e-05,-3.140593559981545e-05,0.00010772080473259982,False,False
