forecast_scale_multiplier,forecast_elo_scale,distance_from_one,matches,brier_1x2,log_loss_1x2,accuracy_1x2,predicted_home_rate,observed_home_rate
1.075,898.2286096256686,0.07499999999999996,6340,0.5737693411276584,0.9664919816409874,0.5465299684542587,0.4818197419687214,0.4801261829652997
1.1,919.1176470588238,0.10000000000000009,6340,0.5737568135508764,0.9665018984774788,0.5465299684542587,0.4797671949066993,0.4801261829652997
1.05,877.3395721925136,0.050000000000000044,6340,0.5738366798721645,0.9665708302789333,0.5465299684542587,0.4839495560378802,0.4801261829652997
1.125,940.0066844919788,0.125,6340,0.5737937552915282,0.9665903047270306,0.5465299684542587,0.4777882689563342,0.4801261829652997
1.15,960.8957219251338,0.1499999999999999,6340,0.5738753115797603,0.9667480925284754,0.5465299684542587,0.4758795122421788,0.4801261829652997
1.025,856.4505347593583,0.02499999999999991,6340,0.5739647091017952,0.9667500560136587,0.5465299684542587,0.4861604872286533,0.4801261829652997
1.175,981.784759358289,0.17500000000000004,6340,0.573997069185328,0.966967177999458,0.5465299684542587,0.4740376569374975,0.4801261829652997
1.0,835.5614973262034,0.0,6340,0.5741599013472207,0.9670428007700667,0.5465299684542587,0.48845660021872905,0.4801261829652997
1.2,1002.673796791444,0.19999999999999996,6340,0.5741550152554576,0.967240376632538,0.5465299684542587,0.47225960958167884,0.4801261829652997
0.975,814.6724598930483,0.025000000000000022,6340,0.5744293840215634,0.9674639640259864,0.5465299684542587,0.49084218462978735,0.4801261829652997
1.225,1023.5628342245992,0.2250000000000001,6340,0.5743455001073013,0.9675612953736932,0.5465299684542587,0.47054244173025506,0.4801261829652997
1.25,1044.4518716577543,0.25,6340,0.5745652035905686,0.9679242389285343,0.5465299684542587,0.46888338096756293,0.4801261829652997
0.95,793.7834224598931,0.050000000000000044,6340,0.574781007629299,0.9680304687962461,0.5465299684542587,0.49332176530389504,0.4801261829652997
1.275,1065.3409090909092,0.2749999999999999,6340,0.5748111046723511,0.9683241282364705,0.5465299684542587,0.46727980230102845,0.4801261829652997
1.3,1086.2299465240644,0.30000000000000004,6340,0.5750804539294788,0.9687564293789055,0.5465299684542587,0.46572921994728017,0.4801261829652997
0.925,772.8943850267382,0.07499999999999996,6340,0.5752234211876904,0.968761573939555,0.5465299684542587,0.49590011229502223,0.4801261829652997
0.9,752.0053475935831,0.09999999999999998,6340,0.5757661555921078,0.9696792420824537,0.5465299684542587,0.49858225034689396,0.4801261829652997
0.875,731.1163101604279,0.125,6340,0.5764197157166637,0.970808574597489,0.5465299684542587,0.5013734675695071,0.4801261829652997
0.85,710.2272727272729,0.15000000000000002,6340,0.5771956821019159,0.9721783277813583,0.5465299684542587,0.5042793229550058,0.4801261829652997
0.825,689.3382352941178,0.17500000000000004,6340,0.5781068231399583,0.9738215278231755,0.5465299684542587,0.5073056522865246,0.4801261829652997
0.8,668.4491978609627,0.19999999999999996,6340,0.5791672187212175,0.9757762065615223,0.5465299684542587,0.5104585718878737,0.4801261829652997
