model_arm,competition,matches,brier_1x2,log_loss_1x2,accuracy_1x2,predicted_home_rate,observed_home_rate,delta_vs_baseline_brier_1x2,delta_vs_baseline_log_loss_1x2,delta_vs_baseline_accuracy_1x2
BASELINE,ALL,4884,0.5720926654555982,0.964370837241503,0.5501638001638002,0.48894861645078763,0.4823914823914824,0.0,0.0,0.0
BASELINE,UCL,1384,0.5530893594826332,0.9359206916639495,0.5722543352601156,0.4881693573964039,0.4797687861271676,0.0,0.0,0.0
BASELINE,UECL,2073,0.5819287859045332,0.9792106048352234,0.5306319343945972,0.4858960129710249,0.48383984563434634,0.0,0.0,0.0
BASELINE,UEL,1427,0.5762344298395798,0.9704059901900327,0.5571128241065172,0.49413890484939643,0.48283111422564823,0.0,0.0,0.0
NESTED_FORECAST_SCALE,ALL,4884,0.5721514630421465,0.9644530485232733,0.5501638001638002,0.4800356919687905,0.4823914823914824,5.879758654825373e-05,8.221128177032799e-05,0.0
NESTED_FORECAST_SCALE,UCL,1384,0.5536725048846931,0.9371018234389068,0.5722543352601156,0.47940327227244284,0.4797687861271676,0.000583145402059948,0.001181131774957267,0.0
NESTED_FORECAST_SCALE,UECL,2073,0.5821717431408663,0.9795764233145096,0.5306319343945972,0.4774031183397189,0.48383984563434634,0.00024295723633305233,0.00036581847928618405,0.0
NESTED_FORECAST_SCALE,UEL,1427,0.5755171515111508,0.9690103993113117,0.5571128241065172,0.48447338923074584,0.48283111422564823,-0.0007172783284290496,-0.001395590878720987,0.0
