competition,matches,ao_brier_1x2,clubelo_brier_1x2,ao_minus_clubelo_brier_1x2,ao_log_loss_1x2,clubelo_log_loss_1x2,ao_minus_clubelo_log_loss_1x2,static_brier_1x2,dynamic_minus_static_brier_1x2,ao_expected_score_mse,clubelo_expected_score_mse
ALL,363,0.5894869057907292,0.5741162417033001,0.015370664087429054,0.9896245927220932,0.9659129020466851,0.023711690675408167,0.6069509746488355,-0.01746406885810646,0.166518159880867,0.15915321441719732
UCL,171,0.6016149389517316,0.5721263612685462,0.02948857768318547,1.0046853361095607,0.9648872803506142,0.03979805575894647,0.6060323115956915,-0.004417372643959763,0.17122407716514398,0.15649899644872142
UECL,90,0.5697016631350577,0.5660959408789078,0.003605722256149974,0.9596951090956948,0.9529498436249143,0.006745265470780303,0.6217598223949524,-0.05205815925989465,0.16044170799969276,0.15995614677631892
UEL,102,0.5866121819522879,0.5845289537477927,0.002083228204495437,0.9907840673016902,0.9790703193798953,0.011713747921795041,0.5954244558737095,-0.008812273921421636,0.16399040315237984,0.16289446304747612
