fold,train_seasons,test_season,train_external_pairs,test_external_pairs,selected_clubelo_home_advantage,selected_clubelo_draw_at_even,selected_clubelo_draw_shape,train_clubelo_brier_1x2,train_clubelo_log_loss_1x2
1,2018/19|2019/20,2020/21,129,53,40.0,0.28,1.0,0.5954769712316188,0.9925324003156574
2,2018/19|2019/20|2020/21,2021/22,182,71,30.0,0.3,1.0,0.5732396063800358,0.9609814153418911
3,2018/19|2019/20|2020/21|2021/22,2022/23,253,80,20.0,0.3,1.0,0.5780089555574078,0.9673484738174988
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,333,74,50.0,0.26,1.0,0.5746159257698381,0.9646809085875666
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,407,85,50.0,0.28,1.0,0.5694502522932371,0.9574168728767025
