competition,matches,competition_layer_brier,core_brier,brier_difference,competition_layer_log_loss,core_log_loss,log_loss_difference
UCL,1384,0.1607602182808359,0.1607602182808359,0.0,0.6059640968328376,0.6059640968328376,0.0
UECL,2073,0.1664851604965467,0.1667986938476028,-0.0003135333510560778,0.6292519757413766,0.6299438210482057,-0.0006918453068290864
UEL,1427,0.16909722033199437,0.16909722033199437,0.0,0.6299934307301964,0.6299934307301964,0.0
