ucl_multiplier,uel_multiplier,uecl_multiplier,distance_from_neutral,matches,brier,log_loss,mean_rating_change,rating_change_std,max_abs_rating_change,max_abs_match_delta,start_end_rank_correlation
1.0,1.0,0.625,0.375,6340,0.16349068631540242,0.6215636884934982,-4.210133403526237e-16,26.524312919438827,127.91296938412597,25.570420048846223,0.9444045801113837
1.0,1.0,0.75,0.25,6340,0.16350829932989033,0.6215691324254927,-4.181925258333004e-16,27.33360075500429,127.91296938412597,25.570420048846223,0.9444045801113837
1.0,1.0,0.5,0.5,6340,0.16351453460703488,0.6216570635538085,-1.7756488747067166e-16,25.768748703933454,127.91296938412597,25.570420048846223,0.9444045801113837
1.0,1.0,0.875,0.125,6340,0.16356352369134508,0.6216630789674131,1.7784046259831895e-18,28.176265808029743,127.91296938412597,25.570420048846223,0.9443129270953633
1.0,0.875,0.625,0.5,6340,0.16358633936735248,0.6217734492773908,-1.0244843408180922e-15,25.237571368795173,116.57865887385731,24.212950686031697,0.9516973491821099
1.0,0.875,0.75,0.375,6340,0.16360292226776368,0.6217759144529441,-7.223710711505389e-16,26.07359576607365,116.57865887385731,24.212950686031697,0.9516973491821099
1.0,0.875,0.5,0.625,6340,0.1636113509073967,0.6218702316175826,-5.396461400712643e-16,24.45432416086466,116.57865887385731,24.212950686031697,0.9516973491821099
1.0,1.0,1.0,0.0,6340,0.16365281343435142,0.6218366241900113,-6.02676093720453e-16,29.03815628863108,127.91296938412597,25.570420048846223,0.9375849061905133
1.0,0.875,0.875,0.25,6340,0.16365723094564333,0.6218672377796262,-7.820718390374262e-16,26.941397315423796,116.57865887385731,24.212950686031697,0.9458436063677597
1.0,0.75,0.625,0.625,6340,0.16374339010659458,0.6221238598652123,-2.3933755756013103e-16,23.941826716659836,104.23621148103905,24.212950686031697,0.9598582191941355
1.0,0.75,0.75,0.5,6340,0.16375865449852145,0.6221226947142682,-2.4114881534916e-16,24.805429548098598,104.23621148103905,24.212950686031697,0.9543263019989318
1.0,0.75,0.5,0.75,6340,0.16376987302190654,0.6222247633456921,-5.815672514401058e-17,23.129908947830963,104.23621148103905,24.212950686031697,0.9598582191941355
1.0,0.625,0.625,0.75,6340,0.16396748397216038,0.6226295748415429,-7.213351200492528e-16,22.654652463601842,103.09679578614089,24.212950686031697,0.9620378890582527
1.0,0.625,0.5,0.875,6340,0.16399576197975937,0.6227353571812082,-4.176711810859364e-16,21.813558204677697,103.09679578614089,24.212950686031697,0.9676152374702296
1.0,0.5,0.5,1.0,6340,0.164294826878996,0.6234183210096311,3.041786012375162e-16,20.534900475013657,103.28866022200725,24.212950686031697,0.9699954808346304
