candidate_key,family,weight,cap,favorite_damping,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
margin_favorite_damped_log_w0.125_c1.25_d0.5,FAVORITE_DAMPED_LOG,0.125,1.25,0.5,6340,0.5753652455540578,0.969529000617381,109.98427814221773,9.094947017729282e-13,490.6806191785786,0.9346787203603933,0.0,0.0,0.0,0.30751196255780916,0.6060844215686886
margin_favorite_damped_log_w0.125_c1.25_d1,FAVORITE_DAMPED_LOG,0.125,1.25,1.0,6340,0.5753596834183445,0.9695229476143826,109.98427814221773,9.094947017729282e-13,490.0726977207462,0.9348622886564628,0.0,0.0,0.0,0.30736980326407803,0.6060712862065026
margin_favorite_damped_log_w0.125_c1.25_d2,FAVORITE_DAMPED_LOG,0.125,1.25,2.0,6340,0.5753557274074269,0.9695203327347176,109.98427814221773,9.094947017729282e-13,489.23150265160984,0.9352490932803235,0.0,0.0,0.0,0.3073054950100262,0.6060311588960346
margin_favorite_damped_log_w0.125_c1.5_d0.5,FAVORITE_DAMPED_LOG,0.125,1.5,0.5,6340,0.5753652455540578,0.969529000617381,109.98427814221773,9.094947017729282e-13,490.6806191785786,0.9346787203603933,0.0,0.0,0.0,0.30751196255780916,0.6060844215686886
margin_favorite_damped_log_w0.125_c1.5_d1,FAVORITE_DAMPED_LOG,0.125,1.5,1.0,6340,0.5753596834183445,0.9695229476143826,109.98427814221773,9.094947017729282e-13,490.0726977207462,0.9348622886564628,0.0,0.0,0.0,0.30736980326407803,0.6060712862065026
margin_favorite_damped_log_w0.125_c1.5_d2,FAVORITE_DAMPED_LOG,0.125,1.5,2.0,6340,0.5753557274074269,0.9695203327347176,109.98427814221773,9.094947017729282e-13,489.23150265160984,0.9352490932803235,0.0,0.0,0.0,0.3073054950100262,0.6060311588960346
margin_favorite_damped_log_w0.125_c1.75_d0.5,FAVORITE_DAMPED_LOG,0.125,1.75,0.5,6340,0.5753652455540578,0.969529000617381,109.98427814221773,9.094947017729282e-13,490.6806191785786,0.9346787203603933,0.0,0.0,0.0,0.30751196255780916,0.6060844215686886
margin_favorite_damped_log_w0.125_c1.75_d1,FAVORITE_DAMPED_LOG,0.125,1.75,1.0,6340,0.5753596834183445,0.9695229476143826,109.98427814221773,9.094947017729282e-13,490.0726977207462,0.9348622886564628,0.0,0.0,0.0,0.30736980326407803,0.6060712862065026
margin_favorite_damped_log_w0.125_c1.75_d2,FAVORITE_DAMPED_LOG,0.125,1.75,2.0,6340,0.5753557274074269,0.9695203327347176,109.98427814221773,9.094947017729282e-13,489.23150265160984,0.9352490932803235,0.0,0.0,0.0,0.3073054950100262,0.6060311588960346
margin_favorite_damped_log_w0.125_c2_d0.5,FAVORITE_DAMPED_LOG,0.125,2.0,0.5,6340,0.5753652455540578,0.969529000617381,109.98427814221773,9.094947017729282e-13,490.6806191785786,0.9346787203603933,0.0,0.0,0.0,0.30751196255780916,0.6060844215686886
margin_favorite_damped_log_w0.125_c2_d1,FAVORITE_DAMPED_LOG,0.125,2.0,1.0,6340,0.5753596834183445,0.9695229476143826,109.98427814221773,9.094947017729282e-13,490.0726977207462,0.9348622886564628,0.0,0.0,0.0,0.30736980326407803,0.6060712862065026
margin_favorite_damped_log_w0.125_c2_d2,FAVORITE_DAMPED_LOG,0.125,2.0,2.0,6340,0.5753557274074269,0.9695203327347176,109.98427814221773,9.094947017729282e-13,489.23150265160984,0.9352490932803235,0.0,0.0,0.0,0.3073054950100262,0.6060311588960346
margin_favorite_damped_log_w0.25_c1.25_d0.5,FAVORITE_DAMPED_LOG,0.25,1.25,0.5,6340,0.5752649503070231,0.9693754842400478,112.32330459899305,9.094947017729282e-13,503.2678460907114,0.9320094874838736,0.0,0.0,0.0,0.30844921765423605,0.6061903106091151
margin_favorite_damped_log_w0.25_c1.25_d1,FAVORITE_DAMPED_LOG,0.25,1.25,1.0,6340,0.5752343255218877,0.9693332230522768,112.32330459899305,9.094947017729282e-13,502.8801998109948,0.9321790071858562,0.0,0.0,0.0,0.3081334757372216,0.6061236151707005
margin_favorite_damped_log_w0.25_c1.25_d2,FAVORITE_DAMPED_LOG,0.25,1.25,2.0,6340,0.5751986955476276,0.9692872314648667,112.32330459899305,9.094947017729282e-13,501.3553578168612,0.9323073176785168,0.0,0.0,0.0,0.3080689002017202,0.6061371844322001
margin_favorite_damped_log_w0.25_c1.5_d0.5,FAVORITE_DAMPED_LOG,0.25,1.5,0.5,6340,0.5751223944204736,0.9691803907341366,130.10991260524102,9.094947017729282e-13,505.8189263245954,0.9314737677626913,0.0,0.0,0.0,0.3082855465318253,0.6062247857320517
margin_favorite_damped_log_w0.25_c1.5_d1,FAVORITE_DAMPED_LOG,0.25,1.5,1.0,6340,0.5751033414855019,0.9691566571331474,130.10991260524102,9.094947017729282e-13,504.63770830440603,0.9316657652152129,0.0,0.0,0.0,0.30819222504819505,0.6062312787340279
margin_favorite_damped_log_w0.25_c1.5_d2,FAVORITE_DAMPED_LOG,0.25,1.5,2.0,6340,0.5750860868974759,0.9691377348669178,130.10991260524102,9.094947017729282e-13,502.97918110419846,0.9320329018073517,0.0,0.0,0.0,0.3079198293142985,0.6061508833117725
margin_favorite_damped_log_w0.25_c1.75_d0.5,FAVORITE_DAMPED_LOG,0.25,1.75,0.5,6340,0.5751223944204736,0.9691803907341366,130.10991260524102,9.094947017729282e-13,505.8189263245954,0.9314737677626913,0.0,0.0,0.0,0.3082855465318253,0.6062247857320517
margin_favorite_damped_log_w0.25_c1.75_d1,FAVORITE_DAMPED_LOG,0.25,1.75,1.0,6340,0.5751033414855019,0.9691566571331474,130.10991260524102,9.094947017729282e-13,504.63770830440603,0.9316657652152129,0.0,0.0,0.0,0.30819222504819505,0.6062312787340279
margin_favorite_damped_log_w0.25_c1.75_d2,FAVORITE_DAMPED_LOG,0.25,1.75,2.0,6340,0.5750860868974759,0.9691377348669178,130.10991260524102,9.094947017729282e-13,502.97918110419846,0.9320329018073517,0.0,0.0,0.0,0.3079198293142985,0.6061508833117725
margin_favorite_damped_log_w0.25_c2_d0.5,FAVORITE_DAMPED_LOG,0.25,2.0,0.5,6340,0.5751223944204736,0.9691803907341366,130.10991260524102,9.094947017729282e-13,505.8189263245954,0.9314737677626913,0.0,0.0,0.0,0.3082855465318253,0.6062247857320517
margin_favorite_damped_log_w0.25_c2_d1,FAVORITE_DAMPED_LOG,0.25,2.0,1.0,6340,0.5751033414855019,0.9691566571331474,130.10991260524102,9.094947017729282e-13,504.63770830440603,0.9316657652152129,0.0,0.0,0.0,0.30819222504819505,0.6062312787340279
margin_favorite_damped_log_w0.25_c2_d2,FAVORITE_DAMPED_LOG,0.25,2.0,2.0,6340,0.5750860868974759,0.9691377348669178,130.10991260524102,9.094947017729282e-13,502.97918110419846,0.9320329018073517,0.0,0.0,0.0,0.3079198293142985,0.6061508833117725
margin_favorite_damped_log_w0.5_c1.25_d0.5,FAVORITE_DAMPED_LOG,0.5,1.25,0.5,6340,0.5753405457879198,0.9694744712152483,118.5131024503544,9.094947017729282e-13,505.71794189561024,0.9307956889547613,0.0,0.0,0.0,0.3086613161716981,0.6064044840728602
margin_favorite_damped_log_w0.5_c1.25_d1,FAVORITE_DAMPED_LOG,0.5,1.25,1.0,6340,0.5753202328306223,0.9694436495822443,118.5131024503544,9.094947017729282e-13,505.4849424874262,0.9310532465130219,0.0,0.0,0.0,0.3087808344445843,0.6064043909100567
margin_favorite_damped_log_w0.5_c1.25_d2,FAVORITE_DAMPED_LOG,0.5,1.25,2.0,6340,0.5752793711959815,0.9693841577350404,118.5131024503544,9.094947017729282e-13,504.9985434183602,0.931219019923248,0.0,0.0,0.0,0.3087483577750756,0.606337503347012
