fold,test_season,candidate_key,family,weight,cap,favorite_damping,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
1,2020/21,margin_favorite_damped_log_w0.125_c1.25_d0.5,FAVORITE_DAMPED_LOG,0.125,1.25,0.5,1456,0.5790468084948329,0.974027879675482,97.20195538538705,9.094947017729282e-13,487.9585409095855,0.9439547541822992,0.0,0.0,0.0,0.3592610145854694,0.6278321060250912
1,2020/21,margin_favorite_damped_log_w0.125_c1.25_d1,FAVORITE_DAMPED_LOG,0.125,1.25,1.0,1456,0.5790486449431954,0.9740312588200528,97.14252567471327,4.547473508864641e-13,487.29509385866913,0.9439935167373105,0.0,0.0,0.0,0.3591645233480849,0.6278321740502054
1,2020/21,margin_favorite_damped_log_w0.125_c1.25_d2,FAVORITE_DAMPED_LOG,0.125,1.25,2.0,1456,0.579051747981338,0.9740372907384697,97.05788176934176,4.547473508864641e-13,486.3498029193513,0.9440250676541804,0.0,0.0,0.0,0.3581758573904536,0.6274392362246396
1,2020/21,margin_favorite_damped_log_w0.125_c1.5_d0.5,FAVORITE_DAMPED_LOG,0.125,1.5,0.5,1456,0.5790468084948329,0.974027879675482,97.20195538538705,9.094947017729282e-13,487.9585409095855,0.9439547541822992,0.0,0.0,0.0,0.3592610145854694,0.6278321060250912
1,2020/21,margin_favorite_damped_log_w0.125_c1.5_d1,FAVORITE_DAMPED_LOG,0.125,1.5,1.0,1456,0.5790486449431954,0.9740312588200528,97.14252567471327,4.547473508864641e-13,487.29509385866913,0.9439935167373105,0.0,0.0,0.0,0.3591645233480849,0.6278321740502054
1,2020/21,margin_favorite_damped_log_w0.125_c1.5_d2,FAVORITE_DAMPED_LOG,0.125,1.5,2.0,1456,0.579051747981338,0.9740372907384697,97.05788176934176,4.547473508864641e-13,486.3498029193513,0.9440250676541804,0.0,0.0,0.0,0.3581758573904536,0.6274392362246396
1,2020/21,margin_favorite_damped_log_w0.125_c1.75_d0.5,FAVORITE_DAMPED_LOG,0.125,1.75,0.5,1456,0.5790468084948329,0.974027879675482,97.20195538538705,9.094947017729282e-13,487.9585409095855,0.9439547541822992,0.0,0.0,0.0,0.3592610145854694,0.6278321060250912
1,2020/21,margin_favorite_damped_log_w0.125_c1.75_d1,FAVORITE_DAMPED_LOG,0.125,1.75,1.0,1456,0.5790486449431954,0.9740312588200528,97.14252567471327,4.547473508864641e-13,487.29509385866913,0.9439935167373105,0.0,0.0,0.0,0.3591645233480849,0.6278321740502054
1,2020/21,margin_favorite_damped_log_w0.125_c1.75_d2,FAVORITE_DAMPED_LOG,0.125,1.75,2.0,1456,0.579051747981338,0.9740372907384697,97.05788176934176,4.547473508864641e-13,486.3498029193513,0.9440250676541804,0.0,0.0,0.0,0.3581758573904536,0.6274392362246396
1,2020/21,margin_favorite_damped_log_w0.125_c2_d0.5,FAVORITE_DAMPED_LOG,0.125,2.0,0.5,1456,0.5790468084948329,0.974027879675482,97.20195538538705,9.094947017729282e-13,487.9585409095855,0.9439547541822992,0.0,0.0,0.0,0.3592610145854694,0.6278321060250912
1,2020/21,margin_favorite_damped_log_w0.125_c2_d1,FAVORITE_DAMPED_LOG,0.125,2.0,1.0,1456,0.5790486449431954,0.9740312588200528,97.14252567471327,4.547473508864641e-13,487.29509385866913,0.9439935167373105,0.0,0.0,0.0,0.3591645233480849,0.6278321740502054
1,2020/21,margin_favorite_damped_log_w0.125_c2_d2,FAVORITE_DAMPED_LOG,0.125,2.0,2.0,1456,0.579051747981338,0.9740372907384697,97.05788176934176,4.547473508864641e-13,486.3498029193513,0.9440250676541804,0.0,0.0,0.0,0.3581758573904536,0.6274392362246396
1,2020/21,margin_favorite_damped_log_w0.25_c1.25_d0.5,FAVORITE_DAMPED_LOG,0.25,1.25,0.5,1456,0.5789353642543222,0.9738532238419673,107.45369042216609,9.094947017729282e-13,501.1614423211265,0.9413044771652493,0.0,0.0,0.0,0.358501305026972,0.6280287790132169
1,2020/21,margin_favorite_damped_log_w0.25_c1.25_d1,FAVORITE_DAMPED_LOG,0.25,1.25,1.0,1456,0.5789074046108834,0.9738131790288874,107.38170348534638,4.547473508864641e-13,500.7484048213796,0.9416344096102292,0.0,0.0,0.0,0.35853379554795517,0.6279109520856385
1,2020/21,margin_favorite_damped_log_w0.25_c1.25_d2,FAVORITE_DAMPED_LOG,0.25,1.25,2.0,1456,0.5788770864751428,0.973773510240759,107.2740579968403,9.094947017729282e-13,499.11728447943096,0.9417804452825972,0.0,0.0,0.0,0.35855575925646666,0.6279504091284693
1,2020/21,margin_favorite_damped_log_w0.25_c1.5_d0.5,FAVORITE_DAMPED_LOG,0.25,1.5,0.5,1456,0.5788156632056691,0.9736833295756747,109.70196166521079,9.094947017729282e-13,503.82606756985524,0.9409682345368957,0.0,0.0,0.0,0.35931734370875856,0.6281861310087403
1,2020/21,margin_favorite_damped_log_w0.25_c1.5_d1,FAVORITE_DAMPED_LOG,0.25,1.5,1.0,1456,0.5788125945793513,0.973680496791568,109.57325589336443,9.094947017729282e-13,502.41388572941173,0.9411926967740539,0.0,0.0,0.0,0.35899154218535473,0.6279502050531266
1,2020/21,margin_favorite_damped_log_w0.25_c1.5_d2,FAVORITE_DAMPED_LOG,0.25,1.5,2.0,1456,0.5788107827083413,0.9736811186376966,109.3897660715971,9.094947017729282e-13,500.3890823688412,0.9414694433877391,0.0,0.0,0.0,0.3590284544292878,0.628068304081162
1,2020/21,margin_favorite_damped_log_w0.25_c1.75_d0.5,FAVORITE_DAMPED_LOG,0.25,1.75,0.5,1456,0.5788156632056691,0.9736833295756747,109.70196166521079,9.094947017729282e-13,503.82606756985524,0.9409682345368957,0.0,0.0,0.0,0.35931734370875856,0.6281861310087403
1,2020/21,margin_favorite_damped_log_w0.25_c1.75_d1,FAVORITE_DAMPED_LOG,0.25,1.75,1.0,1456,0.5788125945793513,0.973680496791568,109.57325589336443,9.094947017729282e-13,502.41388572941173,0.9411926967740539,0.0,0.0,0.0,0.35899154218535473,0.6279502050531266
