fold,test_season,model,candidate_key,matches,brier_1x2,log_loss_1x2,max_abs_match_delta,max_pair_sum_error,max_abs_rating_change,start_end_rank_correlation,max_reserve,reserve_added,trophy_added,ranking_score,pairwise_accuracy
1,2020/21,candidate,margin_log_w1_c1.75,540,0.5448720478296704,0.9286613598561083,151.93200278970534,9.094947017729282e-13,578.1285822436917,0.9493905264315552,0.0,0.0,0.0,0.28641563580476176,0.5967031708405476
1,2020/21,baseline,margin_none,540,0.5453720464435685,0.9291873773815585,90.13144428244979,9.094947017729282e-13,452.37534277047575,0.9688962046951372,0.0,0.0,0.0,0.2885576986625655,0.5996894274085746
2,2021/22,candidate,margin_sqrt_w1_c1.5,816,0.5764491549724964,0.9710607986434405,127.54747190372663,9.094947017729282e-13,466.30496215127846,0.9294945182535577,0.0,0.0,0.0,0.2532983961708388,0.5897562700139966
2,2021/22,baseline,margin_none,816,0.5775608154785563,0.9728905689589475,92.11274081986099,4.547473508864641e-13,395.5998578846875,0.9425079192801343,0.0,0.0,0.0,0.26034028261679104,0.5922622978113639
3,2022/23,candidate,margin_favorite_damped_log_w0.75_c1.25_d2,804,0.5915933622134923,0.9925838183132383,106.08114644212294,9.094947017729282e-13,492.59351502962295,0.9368347354879839,0.0,0.0,0.0,0.3548766005009086,0.6102598496506633
3,2022/23,baseline,margin_none,804,0.5925781242153473,0.9941020811217846,87.73673220240366,4.547473508864641e-13,451.1244346065489,0.9432800931986961,0.0,0.0,0.0,0.35410047208145623,0.6102633662789866
4,2023/24,candidate,margin_none,806,0.565911892642734,0.9560244853198332,92.63575178498871,4.547473508864641e-13,301.46093659092594,0.9377029143808434,0.0,0.0,0.0,0.32388803358667395,0.614919895223666
4,2023/24,baseline,margin_none,806,0.565911892642734,0.9560244853198332,92.63575178498871,4.547473508864641e-13,301.46093659092594,0.9377029143808434,0.0,0.0,0.0,0.32388803358667395,0.614919895223666
5,2024/25,candidate,margin_none,957,0.5711801214476286,0.9643984418371442,92.95714988408973,9.094947017729282e-13,376.0882627210967,0.9385119620937886,0.0,0.0,0.0,0.2524656604132031,0.5901043695935656
5,2024/25,baseline,margin_none,957,0.5711801214476286,0.9643984418371442,92.95714988408973,9.094947017729282e-13,376.0882627210967,0.9385119620937886,0.0,0.0,0.0,0.2524656604132031,0.5901043695935656
6,2025/26,candidate,margin_none,961,0.5879064332093978,0.9876895483743992,91.4047148819775,9.094947017729282e-13,362.94686823544157,0.9418661870569277,0.0,0.0,0.0,,
6,2025/26,baseline,margin_none,961,0.5879064332093978,0.9876895483743992,91.4047148819775,9.094947017729282e-13,362.94686823544157,0.9418661870569277,0.0,0.0,0.0,,
