season,country,country_code,points_t_minus_4,points_t_minus_3,points_t_minus_2,points_t_minus_1,points_t,official_five_year_total,official_country_rank
2018/19,Albania,ALB,2.0,0.875,2.125,0.875,2.625,8.5,34
2018/19,Andorra,AND,0.333,0.5,0.166,0.166,0.166,1.331,53
2018/19,Armenia,ARM,1.125,0.375,1.625,1.125,0.625,4.875,46
2018/19,Austria,AUT,7.8,4.125,3.8,7.375,9.75,32.85,11
2018/19,Azerbaijan,AZB,2.5,3.625,4.375,4.25,4.375,19.125,23
2018/19,Belarus,BLS,1.75,5.5,5.125,3.0,3.25,18.625,27
2018/19,Belgium,BEL,6.4,9.6,7.4,12.5,2.6,38.5,9
2018/19,Bosnia-Herzegovina,BOS,1.5,1.75,1.5,0.5,1.375,6.625,40
2018/19,Bulgaria,BUL,5.625,4.25,1.0,4.25,4.0,19.125,24
2018/19,Croatia,CRO,4.375,6.875,4.5,5.125,5.125,26.0,16
2018/19,Cyprus,CYP,2.75,3.3,3.0,5.5,7.0,21.55,19
2018/19,Czechia,CZE,8.0,3.875,7.3,5.5,5.5,30.175,13
2018/19,Denmark,DEN,3.8,2.9,5.5,8.5,5.25,25.95,17
2018/19,England,ENG,16.785,13.571,14.25,14.928,20.071,79.605,2
2018/19,Estonia,EST,1.0,1.5,1.0,1.375,0.625,5.5,42
2018/19,Faroe Islands,FAR,0.875,1.375,0.375,0.375,0.75,3.75,51
2018/19,Finland,FIN,0.5,2.4,1.0,1.75,1.25,6.9,38
2018/19,France,FRA,8.5,10.916,11.083,14.416,11.5,56.415,5
2018/19,Georgia,GEO,1.875,1.25,0.625,1.125,0.125,5.0,45
2018/19,Germany,GER,14.714,15.857,16.428,14.571,9.857,71.427,4
2018/19,Gibraltar,GIB,0.0,0.25,0.75,1.5,0.5,3.0,52
2018/19,Greece,GRE,6.1,6.2,5.4,5.8,5.1,28.6,15
2018/19,Hungary,HUN,0.875,2.125,1.625,1.875,1.625,8.125,36
2018/19,Iceland,ISL,2.5,2.5,1.125,1.0,1.125,8.25,35
2018/19,Ireland,IRL,0.25,2.0,0.7,2.625,1.125,6.7,39
2018/19,Israel,ISR,5.75,1.375,2.25,6.75,5.625,21.75,18
2018/19,Italy,ITA,14.166,19.0,11.5,14.25,17.333,76.249,3
2018/19,Kazakhstan,KAZ,3.125,3.375,4.625,2.75,4.25,18.125,28
2018/19,Kosovo,KOS,0.0,0.0,0.0,0.0,0.0,0.0,55
2018/19,Latvia,LAT,1.625,0.25,1.625,1.375,0.75,5.625,41
2018/19,Liechtenstein,LIE,1.0,2.5,5.0,2.5,2.0,13.0,31
2018/19,Lithuania,LIT,1.25,0.5,0.75,0.5,2.375,5.375,43
2018/19,Luxembourg,LUX,1.5,0.5,0.75,0.75,0.875,4.375,48
2018/19,Malta,MLT,0.875,0.125,0.875,1.25,1.375,4.5,47
2018/19,Moldova,MOL,3.375,1.75,1.25,0.875,2.75,10.0,33
2018/19,Montenegro,MON,1.25,0.75,1.0,0.875,1.125,5.0,44
2018/19,Netherlands,NED,5.916,6.083,5.75,9.1,2.9,29.749,14
2018/19,North Macedonia,MAC,0.5,1.125,1.5,1.25,3.125,7.5,37
2018/19,Northern Ireland,NIR,0.875,1.375,0.75,0.5,0.75,4.25,49
2018/19,Norway,NOR,2.6,2.2,7.25,1.375,4.0,17.425,29
2018/19,Poland,POL,3.125,4.75,5.5,3.875,2.875,20.125,21
2018/19,Portugal,POR,9.916,9.083,10.5,8.083,9.666,47.248,7
2018/19,Romania,ROM,6.875,5.125,2.25,3.3,2.9,20.45,20
2018/19,Russia,RUS,10.416,9.666,11.5,9.2,12.6,53.382,6
2018/19,San Marino,SMA,0.333,0.0,0.0,0.0,0.166,0.499,54
2018/19,Scotland,SCO,3.25,4.0,3.0,4.375,4.0,18.625,26
2018/19,Serbia,SRB,2.5,2.75,4.25,2.875,6.375,18.75,25
2018/19,Slovakia,SVK,1.625,2.75,3.75,2.125,1.875,12.125,32
2018/19,Slovenia,SLO,2.625,4.0,1.0,2.25,4.625,14.5,30
2018/19,Spain,ESP,23.0,20.214,23.928,20.142,19.714,106.998,1
2018/19,Sweden,SWE,3.2,3.9,4.75,2.75,5.375,19.975,22
2018/19,Switzerland,SUI,7.2,6.9,5.3,4.3,6.5,30.2,12
2018/19,Türkiye,TUR,6.7,6.0,6.6,9.7,6.8,35.8,10
2018/19,Ukraine,UKR,7.833,10.0,9.8,5.5,8.0,41.133,8
2018/19,Wales,WAL,0.75,0.125,1.5,1.0,0.5,3.875,50
