season,country,country_code,points_t_minus_4,points_t_minus_3,points_t_minus_2,points_t_minus_1,points_t,official_five_year_total,official_country_rank
2025/26,Albania,ALB,2.0,1.625,0.875,2.125,1.25,7.875,46
2025/26,Andorra,AND,0.666,1.5,0.666,1.666,1.0,5.498,53
2025/26,Armenia,ARM,1.375,1.875,2.375,2.25,4.375,12.25,35
2025/26,Austria,AUT,6.7,10.4,4.9,4.8,9.65,36.45,13
2025/26,Azerbaijan,AZB,2.5,4.375,4.0,5.875,2.875,19.625,30
2025/26,Belarus,BLS,1.5,0.25,0.625,1.75,1.875,6.0,52
2025/26,Belgium,BEL,6.0,6.6,14.2,14.4,15.65,56.85,8
2025/26,Bosnia-Herzegovina,BOS,2.625,1.625,2.0,2.25,4.531,13.031,34
2025/26,Bulgaria,BUL,4.0,3.375,4.5,4.375,3.625,19.875,29
2025/26,Croatia,CRO,5.9,6.0,3.375,5.875,5.875,27.025,21
2025/26,Cyprus,CYP,4.0,4.125,5.1,3.75,10.562,27.537,19
2025/26,Czechia,CZE,6.6,6.7,6.75,13.5,10.55,44.1,9
2025/26,Denmark,DEN,4.125,7.8,5.9,8.5,7.656,33.981,16
2025/26,England,ENG,24.357,21.0,23.0,17.375,29.464,115.196,1
2025/26,Estonia,EST,1.375,3.666,1.166,0.125,1.625,7.957,45
2025/26,Faroe Islands,FAR,2.75,1.5,2.25,2.75,1.5,10.75,40
2025/26,Finland,FIN,1.375,3.75,2.625,1.75,2.25,11.75,38
2025/26,France,FRA,7.916,18.416,12.583,16.25,17.928,73.093,5
2025/26,Georgia,GEO,1.75,1.25,1.125,1.25,1.25,6.625,50
2025/26,Germany,GER,15.214,16.214,17.125,19.357,18.421,86.331,4
2025/26,Gibraltar,GIB,1.666,1.25,0.875,0.166,1.5,5.457,54
2025/26,Greece,GRE,5.1,8.0,2.125,11.4,12.687,39.312,12
2025/26,Hungary,HUN,4.25,2.75,5.875,4.5,6.625,24.0,24
2025/26,Iceland,ISL,0.625,1.5,3.0,3.833,4.562,13.52,33
2025/26,Ireland,IRL,1.875,2.875,3.375,1.5,5.343,14.968,31
2025/26,Israel,ISR,7.0,6.75,6.25,8.75,2.875,31.625,18
2025/26,Italy,ITA,16.285,15.714,22.357,21.0,21.875,97.231,2
2025/26,Kazakhstan,KAZ,1.0,2.875,1.125,3.125,3.0,11.125,39
2025/26,Kosovo,KOS,1.833,2.333,2.875,3.0,2.0,12.041,37
2025/26,Latvia,LAT,1.375,2.625,2.75,1.625,3.875,12.25,36
2025/26,Liechtenstein,LIE,0.5,0.0,6.5,0.5,0.5,8.0,44
2025/26,Lithuania,LIT,1.625,1.75,2.375,1.125,1.375,8.25,43
2025/26,Luxembourg,LUX,1.0,1.25,1.125,2.25,1.25,6.875,48
2025/26,Malta,MLT,1.5,1.875,2.625,1.5,1.0,8.5,41
2025/26,Moldova,MOL,1.375,5.25,3.75,2.0,2.125,14.5,32
2025/26,Montenegro,MON,1.625,0.75,1.0,1.333,2.5,7.208,47
2025/26,Netherlands,NED,9.2,19.2,13.5,10.0,15.25,67.15,6
2025/26,North Macedonia,MAC,1.75,0.625,1.625,1.5,0.666,6.166,51
2025/26,Northern Ireland,NIR,2.833,1.625,1.25,1.125,1.5,8.333,42
2025/26,Norway,NOR,6.5,7.625,5.75,8.0,11.812,39.687,11
2025/26,Poland,POL,4.0,4.625,7.75,6.875,11.75,35.0,15
2025/26,Portugal,POR,9.6,12.916,12.5,11.0,16.25,62.266,7
2025/26,Romania,ROM,3.75,2.25,6.25,3.25,7.75,23.25,25
2025/26,San Marino,SMA,0.5,0.166,0.833,0.333,0.666,2.498,55
2025/26,Scotland,SCO,8.5,7.9,3.5,6.4,9.25,35.55,14
2025/26,Serbia,SRB,5.5,9.5,5.375,1.4,3.725,25.5,22
2025/26,Slovakia,SVK,1.5,4.125,6.0,5.0,4.625,21.25,27
2025/26,Slovenia,SLO,2.25,3.0,2.125,3.875,9.093,20.343,28
2025/26,Spain,ESP,19.5,18.428,16.571,16.062,23.892,94.453,3
2025/26,Sweden,SWE,2.5,5.125,6.25,1.875,11.375,27.125,20
2025/26,Switzerland,SUI,5.125,7.75,8.5,5.2,7.05,33.625,17
2025/26,Türkiye,TUR,3.1,6.7,11.8,12.0,10.3,43.9,10
2025/26,Ukraine,UKR,6.8,4.2,5.7,4.1,3.6,24.4,23
2025/26,Wales,WAL,1.5,1.5,1.166,0.625,2.0,6.791,49
