competition,matches,model_brier,baseline_brier,brier_difference,log_loss_difference
UCL,1384,0.15779148423586314,0.16075459474927145,-0.002963110513408307,-0.007522484684821418
UECL,2073,0.16563092860372358,0.16679167426594715,-0.0011607456622235723,-0.0028267477378207673
UEL,1427,0.16478500301787166,0.16911248063048107,-0.004327477612609404,-0.010312299260457292
