competition,matches,clusters,mean_brier_difference,ci_95_lower,ci_95_upper,reliable_improvement,reliable_harm
ALL,4884,3502,-0.002596740635040998,-0.003931645840279426,-0.0011968536015196228,True,False
UCL,1384,1056,-0.002963110513408318,-0.006014031901917467,0.00020984287173380348,False,False
UECL,2073,1291,-0.0011607456622235858,-0.0031066115211892714,0.0007838584104199828,False,False
UEL,1427,1155,-0.004327477612609409,-0.006530074703224485,-0.0021684237289888745,True,False
