fold,train_seasons,test_season,selected_scale,selected_home_advantage,selected_k,train_brier,static_scale,static_home_advantage,static_train_brier
1,2018/19|2019/20,2020/21,1021.2418300653596,185.68033273915628,103.98098633392752,0.15744342545200785,1206.922162804516,222.81639928698755,0.1601504147212955
2,2018/19|2019/20|2020/21,2021/22,928.4016636957815,148.54426619132505,103.98098633392752,0.15981405908862686,1114.0819964349378,148.54426619132505,0.16342335599361382
3,2018/19|2019/20|2020/21|2021/22,2022/23,928.4016636957815,148.54426619132505,103.98098633392752,0.1588637890842063,1114.0819964349378,185.68033273915628,0.1623988320002679
4,2018/19|2019/20|2020/21|2021/22|2022/23,2023/24,928.4016636957815,148.54426619132505,103.98098633392752,0.16030947010903854,1114.0819964349378,185.68033273915628,0.16414388751129916
5,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24,2024/25,835.5614973262034,148.54426619132505,103.98098633392752,0.15984947466024418,1114.0819964349378,185.68033273915628,0.16365254911608285
6,2018/19|2019/20|2020/21|2021/22|2022/23|2023/24|2024/25,2025/26,835.5614973262034,148.54426619132505,103.98098633392752,0.16162185903153675,1114.0819964349378,185.68033273915628,0.16527799884567537
